t,pop,estrategia,frequencia
0,0,O,0.3299
0,0,Y,0.3332
0,0,B,0.3369
0,1,O,0.3352
0,1,Y,0.3399
0,1,B,0.3249
0,2,O,0.3318
0,2,Y,0.3376
0,2,B,0.3306
0,3,O,0.3339
0,3,Y,0.3357
0,3,B,0.3304
0,4,O,0.3307
0,4,Y,0.3303
0,4,B,0.339
0,5,O,0.3326
0,5,Y,0.3372
0,5,B,0.3302
0,6,O,0.3334
0,6,Y,0.3344
0,6,B,0.3322
0,7,O,0.3336
0,7,Y,0.3358
0,7,B,0.3306
0,8,O,0.3321
0,8,Y,0.3314
0,8,B,0.3365
0,9,O,0.3321
0,9,Y,0.331
0,9,B,0.3369
0,10,O,0.3246
0,10,Y,0.3378
0,10,B,0.3376
0,11,O,0.3341
0,11,Y,0.3312
0,11,B,0.3347
0,12,O,0.3245
0,12,Y,0.3345
0,12,B,0.341
0,13,O,0.3373
0,13,Y,0.3393
0,13,B,0.3234
0,14,O,0.336
0,14,Y,0.3324
0,14,B,0.3316
0,15,O,0.3372
0,15,Y,0.3347
0,15,B,0.3281
0,16,O,0.3292
0,16,Y,0.3314
0,16,B,0.3394
0,17,O,0.3376
0,17,Y,0.3312
0,17,B,0.3312
0,18,O,0.3375
0,18,Y,0.3267
0,18,B,0.3358
0,19,O,0.33
0,19,Y,0.3415
0,19,B,0.3285
0,20,O,0.3378
0,20,Y,0.3302
0,20,B,0.332
0,21,O,0.3321
0,21,Y,0.3348
0,21,B,0.3331
0,22,O,0.34
0,22,Y,0.329
0,22,B,0.331
0,23,O,0.3347
0,23,Y,0.3391
0,23,B,0.3262
0,24,O,0.3302
0,24,Y,0.3345
0,24,B,0.3353
0,25,O,0.333
0,25,Y,0.3359
0,25,B,0.3311
0,26,O,0.3304
0,26,Y,0.3361
0,26,B,0.3335
0,27,O,0.325
0,27,Y,0.3388
0,27,B,0.3362
0,28,O,0.3306
0,28,Y,0.3382
0,28,B,0.3312
0,29,O,0.3433
0,29,Y,0.3332
0,29,B,0.3235
0,30,O,0.3256
0,30,Y,0.3391
0,30,B,0.3353
0,31,O,0.3375
0,31,Y,0.3301
0,31,B,0.3324
0,32,O,0.3244
0,32,Y,0.3378
0,32,B,0.3378
0,33,O,0.3345
0,33,Y,0.3319
0,33,B,0.3336
0,34,O,0.3387
0,34,Y,0.3261
0,34,B,0.3352
0,35,O,0.3313
0,35,Y,0.3313
0,35,B,0.3374
0,36,O,0.3369
0,36,Y,0.3339
0,36,B,0.3292
0,37,O,0.3431
0,37,Y,0.3233
0,37,B,0.3336
0,38,O,0.3332
0,38,Y,0.3377
0,38,B,0.3291
0,39,O,0.3337
0,39,Y,0.3352
0,39,B,0.3311
0,40,O,0.3264
0,40,Y,0.3425
0,40,B,0.3311
0,41,O,0.3352
0,41,Y,0.3338
0,41,B,0.331
0,42,O,0.3319
0,42,Y,0.331
0,42,B,0.3371
0,43,O,0.3298
0,43,Y,0.3309
0,43,B,0.3393
0,44,O,0.3429
0,44,Y,0.3317
0,44,B,0.3254
0,45,O,0.3319
0,45,Y,0.3351
0,45,B,0.333
0,46,O,0.3363
0,46,Y,0.3281
0,46,B,0.3356
0,47,O,0.3305
0,47,Y,0.3337
0,47,B,0.3358
0,48,O,0.3328
0,48,Y,0.3358
0,48,B,0.3314
0,49,O,0.3371
0,49,Y,0.3288
0,49,B,0.3341
0,50,O,0.3357
0,50,Y,0.3387
0,50,B,0.3256
0,51,O,0.3291
0,51,Y,0.3358
0,51,B,0.3351
0,52,O,0.3311
0,52,Y,0.3378
0,52,B,0.3311
0,53,O,0.3306
0,53,Y,0.331
0,53,B,0.3384
0,54,O,0.3343
0,54,Y,0.3347
0,54,B,0.331
0,55,O,0.3309
0,55,Y,0.3388
0,55,B,0.3303
0,56,O,0.328
0,56,Y,0.33
0,56,B,0.342
0,57,O,0.3334
0,57,Y,0.3309
0,57,B,0.3357
0,58,O,0.329
0,58,Y,0.3304
0,58,B,0.3406
0,59,O,0.3383
0,59,Y,0.3352
0,59,B,0.3265
0,60,O,0.3339
0,60,Y,0.3294
0,60,B,0.3367
0,61,O,0.3384
0,61,Y,0.3384
0,61,B,0.3232
0,62,O,0.3292
0,62,Y,0.3302
0,62,B,0.3406
0,63,O,0.331
0,63,Y,0.328
0,63,B,0.341
0,64,O,0.3407
0,64,Y,0.3417
0,64,B,0.3176
0,65,O,0.3301
0,65,Y,0.3324
0,65,B,0.3375
0,66,O,0.336
0,66,Y,0.3299
0,66,B,0.3341
0,67,O,0.333
0,67,Y,0.3335
0,67,B,0.3335
0,68,O,0.3298
0,68,Y,0.3352
0,68,B,0.335
0,69,O,0.3419
0,69,Y,0.3257
0,69,B,0.3324
0,70,O,0.3351
0,70,Y,0.3303
0,70,B,0.3346
0,71,O,0.3418
0,71,Y,0.3233
0,71,B,0.3349
0,72,O,0.3326
0,72,Y,0.3284
0,72,B,0.339
0,73,O,0.3379
0,73,Y,0.3251
0,73,B,0.337
0,74,O,0.3419
0,74,Y,0.3309
0,74,B,0.3272
0,75,O,0.338
0,75,Y,0.3311
0,75,B,0.3309
0,76,O,0.3339
0,76,Y,0.3333
0,76,B,0.3328
0,77,O,0.3311
0,77,Y,0.3318
0,77,B,0.3371
0,78,O,0.3328
0,78,Y,0.336
0,78,B,0.3312
0,79,O,0.3309
0,79,Y,0.3325
0,79,B,0.3366
0,80,O,0.3366
0,80,Y,0.3319
0,80,B,0.3315
0,81,O,0.3253
0,81,Y,0.3371
0,81,B,0.3376
0,82,O,0.3304
0,82,Y,0.333
0,82,B,0.3366
0,83,O,0.3235
0,83,Y,0.3366
0,83,B,0.3399
0,84,O,0.3266
0,84,Y,0.3368
0,84,B,0.3366
0,85,O,0.339
0,85,Y,0.3259
0,85,B,0.3351
0,86,O,0.3305
0,86,Y,0.3384
0,86,B,0.3311
0,87,O,0.332
0,87,Y,0.328
0,87,B,0.34
0,88,O,0.3327
0,88,Y,0.3354
0,88,B,0.3319
0,89,O,0.33
0,89,Y,0.3368
0,89,B,0.3332
0,90,O,0.3403
0,90,Y,0.3328
0,90,B,0.3269
0,91,O,0.3328
0,91,Y,0.3375
0,91,B,0.3297
0,92,O,0.336
0,92,Y,0.3249
0,92,B,0.3391
0,93,O,0.341
0,93,Y,0.3286
0,93,B,0.3304
0,94,O,0.3271
0,94,Y,0.3358
0,94,B,0.3371
0,95,O,0.338
0,95,Y,0.3271
0,95,B,0.3349
0,96,O,0.3354
0,96,Y,0.3309
0,96,B,0.3337
0,97,O,0.34
0,97,Y,0.3328
0,97,B,0.3272
0,98,O,0.3372
0,98,Y,0.3322
0,98,B,0.3306
0,99,O,0.3433
0,99,Y,0.3282
0,99,B,0.3285
1,0,O,0.3105
1,0,Y,0.3086
1,0,B,0.3809
1,1,O,0.2962
1,1,Y,0.377
1,1,B,0.3268
1,2,O,0.2632
1,2,Y,0.3559
1,2,B,0.3809
1,3,O,0.3217
1,3,Y,0.3152
1,3,B,0.3631
1,4,O,0.3964
1,4,Y,0.2924
1,4,B,0.3112
1,5,O,0.312
1,5,Y,0.3178
1,5,B,0.3702
1,6,O,0.3371
1,6,Y,0.3604
1,6,B,0.3025
1,7,O,0.3102
1,7,Y,0.3296
1,7,B,0.3602
1,8,O,0.3075
1,8,Y,0.3383
1,8,B,0.3542
1,9,O,0.3344
1,9,Y,0.3258
1,9,B,0.3398
1,10,O,0.3051
1,10,Y,0.3103
1,10,B,0.3846
1,11,O,0.3628
1,11,Y,0.3245
1,11,B,0.3127
1,12,O,0.3823
1,12,Y,0.2747
1,12,B,0.343
1,13,O,0.2806
1,13,Y,0.3729
1,13,B,0.3465
1,14,O,0.3134
1,14,Y,0.3506
1,14,B,0.336
1,15,O,0.3098
1,15,Y,0.3617
1,15,B,0.3285
1,16,O,0.4021
1,16,Y,0.2892
1,16,B,0.3087
1,17,O,0.3214
1,17,Y,0.3718
1,17,B,0.3068
1,18,O,0.3625
1,18,Y,0.3372
1,18,B,0.3003
1,19,O,0.2423
1,19,Y,0.3474
1,19,B,0.4103
1,20,O,0.316
1,20,Y,0.3851
1,20,B,0.2989
1,21,O,0.335
1,21,Y,0.3443
1,21,B,0.3207
1,22,O,0.2974
1,22,Y,0.4051
1,22,B,0.2975
1,23,O,0.2598
1,23,Y,0.3678
1,23,B,0.3724
1,24,O,0.3354
1,24,Y,0.2937
1,24,B,0.3709
1,25,O,0.3058
1,25,Y,0.3434
1,25,B,0.3508
1,26,O,0.3089
1,26,Y,0.3311
1,26,B,0.36
1,27,O,0.361
1,27,Y,0.2817
1,27,B,0.3573
1,28,O,0.3066
1,28,Y,0.2938
1,28,B,0.3996
1,29,O,0.2998
1,29,Y,0.4177
1,29,B,0.2825
1,30,O,0.3233
1,30,Y,0.2702
1,30,B,0.4065
1,31,O,0.3312
1,31,Y,0.3847
1,31,B,0.2841
1,32,O,0.3299
1,32,Y,0.286
1,32,B,0.3841
1,33,O,0.377
1,33,Y,0.3005
1,33,B,0.3225
1,34,O,0.3462
1,34,Y,0.3467
1,34,B,0.3071
1,35,O,0.3481
1,35,Y,0.313
1,35,B,0.3389
1,36,O,0.3037
1,36,Y,0.3535
1,36,B,0.3428
1,37,O,0.3691
1,37,Y,0.3818
1,37,B,0.2491
1,38,O,0.2995
1,38,Y,0.3529
1,38,B,0.3476
1,39,O,0.285
1,39,Y,0.3313
1,39,B,0.3837
1,40,O,0.3077
1,40,Y,0.3021
1,40,B,0.3902
1,41,O,0.3675
1,41,Y,0.3191
1,41,B,0.3134
1,42,O,0.3689
1,42,Y,0.319
1,42,B,0.3121
1,43,O,0.3442
1,43,Y,0.3002
1,43,B,0.3556
1,44,O,0.2794
1,44,Y,0.4252
1,44,B,0.2954
1,45,O,0.3529
1,45,Y,0.275
1,45,B,0.3721
1,46,O,0.3232
1,46,Y,0.3765
1,46,B,0.3003
1,47,O,0.2892
1,47,Y,0.3495
1,47,B,0.3613
1,48,O,0.2879
1,48,Y,0.3541
1,48,B,0.358
1,49,O,0.326
1,49,Y,0.374
1,49,B,0.3
1,50,O,0.2719
1,50,Y,0.3734
1,50,B,0.3547
1,51,O,0.3199
1,51,Y,0.2809
1,51,B,0.3992
1,52,O,0.3124
1,52,Y,0.2992
1,52,B,0.3884
1,53,O,0.387
1,53,Y,0.2951
1,53,B,0.3179
1,54,O,0.3079
1,54,Y,0.3396
1,54,B,0.3525
1,55,O,0.2946
1,55,Y,0.3242
1,55,B,0.3812
1,56,O,0.3823
1,56,Y,0.2949
1,56,B,0.3228
1,57,O,0.3536
1,57,Y,0.308
1,57,B,0.3384
1,58,O,0.3682
1,58,Y,0.3002
1,58,B,0.3316
1,59,O,0.2538
1,59,Y,0.4133
1,59,B,0.3329
1,60,O,0.3475
1,60,Y,0.3615
1,60,B,0.291
1,61,O,0.295
1,61,Y,0.3664
1,61,B,0.3386
1,62,O,0.3891
1,62,Y,0.3095
1,62,B,0.3014
1,63,O,0.3643
1,63,Y,0.3032
1,63,B,0.3325
1,64,O,0.248
1,64,Y,0.4109
1,64,B,0.3411
1,65,O,0.3431
1,65,Y,0.3054
1,65,B,0.3515
1,66,O,0.3919
1,66,Y,0.3132
1,66,B,0.2949
1,67,O,0.3097
1,67,Y,0.3542
1,67,B,0.3361
1,68,O,0.3484
1,68,Y,0.3303
1,68,B,0.3213
1,69,O,0.3392
1,69,Y,0.3762
1,69,B,0.2846
1,70,O,0.3487
1,70,Y,0.3299
1,70,B,0.3214
1,71,O,0.3673
1,71,Y,0.3699
1,71,B,0.2628
1,72,O,0.3861
1,72,Y,0.306
1,72,B,0.3079
1,73,O,0.3876
1,73,Y,0.3169
1,73,B,0.2955
1,74,O,0.3013
1,74,Y,0.4094
1,74,B,0.2893
1,75,O,0.3196
1,75,Y,0.3872
1,75,B,0.2932
1,76,O,0.3417
1,76,Y,0.3059
1,76,B,0.3524
1,77,O,0.3404
1,77,Y,0.307
1,77,B,0.3526
1,78,O,0.3435
1,78,Y,0.3373
1,78,B,0.3192
1,79,O,0.3492
1,79,Y,0.2954
1,79,B,0.3554
1,80,O,0.3158
1,80,Y,0.337
1,80,B,0.3472
1,81,O,0.3392
1,81,Y,0.2926
1,81,B,0.3682
1,82,O,0.351
1,82,Y,0.3277
1,82,B,0.3213
1,83,O,0.3631
1,83,Y,0.2681
1,83,B,0.3688
1,84,O,0.3489
1,84,Y,0.2861
1,84,B,0.365
1,85,O,0.3688
1,85,Y,0.3552
1,85,B,0.276
1,86,O,0.3155
1,86,Y,0.2888
1,86,B,0.3957
1,87,O,0.3521
1,87,Y,0.3142
1,87,B,0.3337
1,88,O,0.3046
1,88,Y,0.3432
1,88,B,0.3522
1,89,O,0.2886
1,89,Y,0.2895
1,89,B,0.4219
1,90,O,0.2929
1,90,Y,0.3637
1,90,B,0.3434
1,91,O,0.318
1,91,Y,0.2949
1,91,B,0.3871
1,92,O,0.4116
1,92,Y,0.3367
1,92,B,0.2517
1,93,O,0.3539
1,93,Y,0.3778
1,93,B,0.2683
1,94,O,0.3162
1,94,Y,0.3222
1,94,B,0.3616
1,95,O,0.3885
1,95,Y,0.3538
1,95,B,0.2577
1,96,O,0.3602
1,96,Y,0.3248
1,96,B,0.315
1,97,O,0.2941
1,97,Y,0.4019
1,97,B,0.304
1,98,O,0.3385
1,98,Y,0.3373
1,98,B,0.3242
1,99,O,0.3545
1,99,Y,0.3572
1,99,B,0.2883
2,0,O,0.3592
2,0,Y,0.327
2,0,B,0.3138
2,1,O,0.2329
2,1,Y,0.3495
2,1,B,0.4176
2,2,O,0.2975
2,2,Y,0.2915
2,2,B,0.411
2,3,O,0.3361
2,3,Y,0.2831
2,3,B,0.3808
2,4,O,0.3255
2,4,Y,0.3837
2,4,B,0.2908
2,5,O,0.3222
2,5,Y,0.2797
2,5,B,0.3981
2,6,O,0.3161
2,6,Y,0.3508
2,6,B,0.3331
2,7,O,0.3146
2,7,Y,0.2869
2,7,B,0.3985
2,8,O,0.32
2,8,Y,0.336
2,8,B,0.344
2,9,O,0.3431
2,9,Y,0.329
2,9,B,0.3279
2,10,O,0.3898
2,10,Y,0.2315
2,10,B,0.3787
2,11,O,0.3223
2,11,Y,0.4067
2,11,B,0.271
2,12,O,0.4062
2,12,Y,0.331
2,12,B,0.2628
2,13,O,0.2644
2,13,Y,0.3442
2,13,B,0.3914
2,14,O,0.3088
2,14,Y,0.3611
2,14,B,0.3301
2,15,O,0.3169
2,15,Y,0.3224
2,15,B,0.3607
2,16,O,0.3634
2,16,Y,0.3582
2,16,B,0.2784
2,17,O,0.2933
2,17,Y,0.3816
2,17,B,0.3251
2,18,O,0.3281
2,18,Y,0.3829
2,18,B,0.289
2,19,O,0.2961
2,19,Y,0.2571
2,19,B,0.4468
2,20,O,0.3241
2,20,Y,0.3479
2,20,B,0.328
2,21,O,0.3032
2,21,Y,0.3299
2,21,B,0.3669
2,22,O,0.2769
2,22,Y,0.3944
2,22,B,0.3287
2,23,O,0.3057
2,23,Y,0.2553
2,23,B,0.439
2,24,O,0.4354
2,24,Y,0.2489
2,24,B,0.3157
2,25,O,0.3109
2,25,Y,0.3363
2,25,B,0.3528
2,26,O,0.3854
2,26,Y,0.3231
2,26,B,0.2915
2,27,O,0.4307
2,27,Y,0.2757
2,27,B,0.2936
2,28,O,0.3457
2,28,Y,0.2641
2,28,B,0.3902
2,29,O,0.2111
2,29,Y,0.4095
2,29,B,0.3794
2,30,O,0.4041
2,30,Y,0.2593
2,30,B,0.3366
2,31,O,0.2714
2,31,Y,0.4235
2,31,B,0.3051
2,32,O,0.3894
2,32,Y,0.2494
2,32,B,0.3612
2,33,O,0.3599
2,33,Y,0.3253
2,33,B,0.3148
2,34,O,0.2911
2,34,Y,0.3783
2,34,B,0.3306
2,35,O,0.3465
2,35,Y,0.3219
2,35,B,0.3316
2,36,O,0.2914
2,36,Y,0.3426
2,36,B,0.366
2,37,O,0.263
2,37,Y,0.4381
2,37,B,0.2989
2,38,O,0.3503
2,38,Y,0.2725
2,38,B,0.3772
2,39,O,0.3282
2,39,Y,0.2712
2,39,B,0.4006
2,40,O,0.3822
2,40,Y,0.2691
2,40,B,0.3487
2,41,O,0.3124
2,41,Y,0.3653
2,41,B,0.3223
2,42,O,0.3221
2,42,Y,0.3697
2,42,B,0.3082
2,43,O,0.435
2,43,Y,0.2681
2,43,B,0.2969
2,44,O,0.2654
2,44,Y,0.3479
2,44,B,0.3867
2,45,O,0.39
2,45,Y,0.3094
2,45,B,0.3006
2,46,O,0.3051
2,46,Y,0.3428
2,46,B,0.3521
2,47,O,0.3159
2,47,Y,0.3154
2,47,B,0.3687
2,48,O,0.3017
2,48,Y,0.3039
2,48,B,0.3944
2,49,O,0.2967
2,49,Y,0.3909
2,49,B,0.3124
2,50,O,0.2754
2,50,Y,0.3284
2,50,B,0.3962
2,51,O,0.3697
2,51,Y,0.3173
2,51,B,0.313
2,52,O,0.3479
2,52,Y,0.3042
2,52,B,0.3479
2,53,O,0.367
2,53,Y,0.363
2,53,B,0.27
2,54,O,0.3572
2,54,Y,0.2926
2,54,B,0.3502
2,55,O,0.3698
2,55,Y,0.2589
2,55,B,0.3713
2,56,O,0.3976
2,56,Y,0.3407
2,56,B,0.2617
2,57,O,0.3839
2,57,Y,0.3624
2,57,B,0.2537
2,58,O,0.3694
2,58,Y,0.3662
2,58,B,0.2644
2,59,O,0.2621
2,59,Y,0.3111
2,59,B,0.4268
2,60,O,0.32
2,60,Y,0.3666
2,60,B,0.3134
2,61,O,0.2644
2,61,Y,0.3144
2,61,B,0.4212
2,62,O,0.289
