t,pop,y,estrategia,frequencia
100,0,0,O,0.1117
100,0,0,Y,0.8883
100,0,0,B,0.0
100,0,1,O,0.1639
100,0,1,Y,0.6174
100,0,1,B,0.2187
100,0,2,O,0.2981
100,0,2,Y,0.5171
100,0,2,B,0.1848
100,0,3,O,0.1418
100,0,3,Y,0.5875
100,0,3,B,0.2707
100,0,4,O,0.1287
100,0,4,Y,0.5979
100,0,4,B,0.2734
100,0,5,O,0.2017
100,0,5,Y,0.4839
100,0,5,B,0.3144
100,0,6,O,0.201
100,0,6,Y,0.4878
100,0,6,B,0.3112
100,0,7,O,0.3572
100,0,7,Y,0.39
100,0,7,B,0.2528
100,0,8,O,0.1307
100,0,8,Y,0.278
100,0,8,B,0.5913
100,0,9,O,0.057
100,0,9,Y,0.1011
100,0,9,B,0.8419
100,0,10,O,0.0088
100,0,10,Y,0.0321
100,0,10,B,0.9591
100,0,11,O,0.0
100,0,11,Y,0.0445
100,0,11,B,0.9555
100,0,12,O,0.0
100,0,12,Y,0.1654
100,0,12,B,0.8346
100,0,13,O,0.0
100,0,13,Y,0.2043
100,0,13,B,0.7957
100,0,14,O,0.0
100,0,14,Y,0.2607
100,0,14,B,0.7393
100,0,15,O,0.0
100,0,15,Y,0.3166
100,0,15,B,0.6834
100,0,16,O,0.0
100,0,16,Y,0.2914
100,0,16,B,0.7086
100,0,17,O,0.0
100,0,17,Y,0.296
100,0,17,B,0.704
100,0,18,O,0.0
100,0,18,Y,0.2953
100,0,18,B,0.7047
100,0,19,O,0.0
100,0,19,Y,0.2944
100,0,19,B,0.7056
100,0,20,O,0.0
100,0,20,Y,0.3151
100,0,20,B,0.6849
100,0,21,O,0.0
100,0,21,Y,0.2867
100,0,21,B,0.7133
100,0,22,O,0.0
100,0,22,Y,0.2633
100,0,22,B,0.7367
100,0,23,O,0.0
100,0,23,Y,0.3032
100,0,23,B,0.6968
100,1,0,O,0.1102
100,1,0,Y,0.8898
100,1,0,B,0.0
100,1,1,O,0.1697
100,1,1,Y,0.7011
100,1,1,B,0.1292
100,1,2,O,0.3172
100,1,2,Y,0.5146
100,1,2,B,0.1682
100,1,3,O,0.1396
100,1,3,Y,0.5792
100,1,3,B,0.2812
100,1,4,O,0.1199
100,1,4,Y,0.5322
100,1,4,B,0.3479
100,1,5,O,0.1996
100,1,5,Y,0.4904
100,1,5,B,0.31
100,1,6,O,0.1996
100,1,6,Y,0.4904
100,1,6,B,0.31
100,1,7,O,0.3981
100,1,7,Y,0.3654
100,1,7,B,0.2365
100,1,8,O,0.1581
100,1,8,Y,0.3099
100,1,8,B,0.532
100,1,9,O,0.0362
100,1,9,Y,0.0957
100,1,9,B,0.8681
100,1,10,O,0.0036
100,1,10,Y,0.0141
100,1,10,B,0.9823
100,1,11,O,0.0
100,1,11,Y,0.0425
100,1,11,B,0.9575
100,1,12,O,0.0
100,1,12,Y,0.1664
100,1,12,B,0.8336
100,1,13,O,0.0
100,1,13,Y,0.2082
100,1,13,B,0.7918
100,1,14,O,0.0
100,1,14,Y,0.2455
100,1,14,B,0.7545
100,1,15,O,0.0
100,1,15,Y,0.3097
100,1,15,B,0.6903
100,1,16,O,0.0
100,1,16,Y,0.3043
100,1,16,B,0.6957
100,1,17,O,0.0
100,1,17,Y,0.2774
100,1,17,B,0.7226
100,1,18,O,0.0
100,1,18,Y,0.2881
100,1,18,B,0.7119
100,1,19,O,0.0
100,1,19,Y,0.2814
100,1,19,B,0.7186
100,1,20,O,0.0
100,1,20,Y,0.2885
