t,y,estrategia,frequencia_media
0,21,O,0.333282
0,21,Y,0.33389599999999997
0,21,B,0.33282199999999995
1,21,O,0.00013
1,21,Y,0.97442
1,21,B,0.02545
2,21,O,0.0
2,21,Y,0.85771
2,21,B,0.14228999999999997
3,21,O,0.0
3,21,Y,0.7315819999999998
3,21,B,0.2684179999999999
4,21,O,0.0
4,21,Y,0.6069600000000002
4,21,B,0.39304
5,21,O,0.0
5,21,Y,0.4954699999999999
5,21,B,0.50453
6,21,O,0.0
6,21,Y,0.42613399999999985
6,21,B,0.5738660000000001
7,21,O,0.0
7,21,Y,0.344836
7,21,B,0.6551640000000001
8,21,O,0.0
8,21,Y,0.325388
8,21,B,0.6746120000000001
9,21,O,0.0
9,21,Y,0.28091999999999995
9,21,B,0.7190799999999998
10,21,O,0.0
10,21,Y,0.30211600000000005
10,21,B,0.6978840000000001
11,21,O,0.0
11,21,Y,0.268042
11,21,B,0.7319580000000003
12,21,O,0.0
12,21,Y,0.2915699999999999
12,21,B,0.7084299999999999
13,21,O,0.0
13,21,Y,0.26461
13,21,B,0.7353900000000002
14,21,O,0.0
14,21,Y,0.29148999999999997
14,21,B,0.7085099999999999
15,21,O,0.0
15,21,Y,0.26447199999999993
15,21,B,0.7355280000000001
16,21,O,0.0
16,21,Y,0.29105600000000004
16,21,B,0.7089439999999999
17,21,O,0.0
17,21,Y,0.264326
17,21,B,0.7356739999999999
18,21,O,0.0
18,21,Y,0.29186999999999996
18,21,B,0.7081299999999999
19,21,O,0.0
19,21,Y,0.266318
19,21,B,0.7336820000000003
20,21,O,0.0
20,21,Y,0.29080599999999995
20,21,B,0.7091940000000002
21,21,O,0.0
21,21,Y,0.2666040000000001
21,21,B,0.7333959999999999
22,21,O,0.0
22,21,Y,0.289396
22,21,B,0.7106040000000001
23,21,O,0.0
23,21,Y,0.266006
23,21,B,0.733994
24,21,O,0.0
24,21,Y,0.2896060000000001
24,21,B,0.710394
25,21,O,0.0
25,21,Y,0.26748600000000006
25,21,B,0.7325139999999998
26,21,O,0.0
26,21,Y,0.2842940000000001
26,21,B,0.7157060000000004
27,21,O,0.0
27,21,Y,0.271058
27,21,B,0.7289420000000003
28,21,O,0.0
28,21,Y,0.2879400000000001
28,21,B,0.71206
29,21,O,0.0
29,21,Y,0.269914
29,21,B,0.730086
30,21,O,0.0
30,21,Y,0.28418
30,21,B,0.7158200000000001
31,21,O,0.0
31,21,Y,0.2701039999999999
31,21,B,0.7298959999999998
32,21,O,0.0
32,21,Y,0.2823680000000001
32,21,B,0.7176320000000002
33,21,O,0.0
33,21,Y,0.2707880000000001
33,21,B,0.7292119999999999
34,21,O,0.0
34,21,Y,0.28385600000000005
34,21,B,0.7161440000000002
35,21,O,0.0
35,21,Y,0.27114400000000005
35,21,B,0.7288560000000001
36,21,O,0.0
36,21,Y,0.287028
36,21,B,0.7129720000000002
37,21,O,0.0
37,21,Y,0.270264
37,21,B,0.7297359999999999
38,21,O,0.0
38,21,Y,0.2835280000000001
38,21,B,0.7164720000000001
39,21,O,0.0
39,21,Y,0.27248999999999995
39,21,B,0.7275100000000001
40,21,O,0.0
40,21,Y,0.2824859999999999
40,21,B,0.7175139999999998
41,21,O,0.0
41,21,Y,0.2721500000000001
41,21,B,0.72785
42,21,O,0.0
42,21,Y,0.28403000000000006
42,21,B,0.71597
43,21,O,0.0
43,21,Y,0.275548
43,21,B,0.724452
44,21,O,0.0
44,21,Y,0.280062
44,21,B,0.719938
45,21,O,0.0
45,21,Y,0.273666
45,21,B,0.7263340000000003
46,21,O,0.0
46,21,Y,0.281574
46,21,B,0.718426
47,21,O,0.0
47,21,Y,0.276314
47,21,B,0.7236859999999998
48,21,O,0.0
48,21,Y,0.280658
48,21,B,0.7193419999999999
49,21,O,0.0
