t,y,estrategia,n_vizinhos_media
0,18,O,
0,18,Y,
0,18,B,
1,18,O,11.335374409127365
1,18,Y,20.00607915814157
1,18,B,10.006047077933355
2,18,O,17.145640692640693
2,18,Y,23.92063098276661
2,18,B,14.057872788193393
3,18,O,0.0
3,18,Y,23.731250365885455
3,18,B,9.422581957867438
4,18,O,0.0
4,18,Y,23.594288069041387
4,18,B,9.154900319842152
5,18,O,0.0
5,18,Y,23.377769920332398
5,18,B,8.880555493801731
6,18,O,0.0
6,18,Y,23.100986740362636
6,18,B,8.568534333697606
7,18,O,0.0
7,18,Y,22.884869339310416
7,18,B,8.297591501761735
8,18,O,0.0
8,18,Y,22.597283097596492
8,18,B,8.185299733383022
9,18,O,0.0
9,18,Y,22.19998476923937
9,18,B,8.07445258111645
10,18,O,0.0
10,18,Y,21.871852102656415
10,18,B,7.578876657713056
11,18,O,0.0
11,18,Y,21.627787272235004
11,18,B,7.7943242251024625
12,18,O,0.0
12,18,Y,21.380438149808548
12,18,B,7.424129194096439
13,18,O,0.0
13,18,Y,21.134339422424006
13,18,B,7.672483156803528
14,18,O,0.0
14,18,Y,20.83747794441042
14,18,B,7.396256783567498
15,18,O,0.0
15,18,Y,20.650833243942934
15,18,B,7.494609839421985
16,18,O,0.0
16,18,Y,20.445493641269234
16,18,B,7.328168887234086
17,18,O,0.0
17,18,Y,20.33928919755052
17,18,B,7.4169848457538645
18,18,O,0.0
18,18,Y,20.20951160472648
18,18,B,7.273717596768897
19,18,O,0.0
19,18,Y,20.214810988246555
19,18,B,7.3540550733968635
20,18,O,0.0
20,18,Y,20.177288035607262
20,18,B,7.253345000256605
21,18,O,0.0
21,18,Y,20.188407581808686
21,18,B,7.35767910166793
22,18,O,0.0
22,18,Y,20.156669400804187
22,18,B,7.277025021957926
23,18,O,0.0
23,18,Y,20.16329730516055
23,18,B,7.331515386491808
24,18,O,0.0
24,18,Y,20.159049569267257
24,18,B,7.263733931420344
25,18,O,0.0
25,18,Y,20.18008866759785
25,18,B,7.328461414653953
26,18,O,0.0
26,18,Y,20.163234466612863
26,18,B,7.269184301935517
27,18,O,0.0
27,18,Y,20.180073992424614
27,18,B,7.322504397348549
28,18,O,0.0
28,18,Y,20.16040594912258
28,18,B,7.29118246236387
29,18,O,0.0
29,18,Y,20.17584074709143
29,18,B,7.3124978969250245
30,18,O,0.0
30,18,Y,20.17709543481146
30,18,B,7.296215572360012
31,18,O,0.0
31,18,Y,20.16209230608529
31,18,B,7.311083825826792
32,18,O,0.0
32,18,Y,20.16729140026881
32,18,B,7.293203308016216
33,18,O,0.0
33,18,Y,20.16669276028602
33,18,B,7.305237074778303
34,18,O,0.0
34,18,Y,20.158080440484984
34,18,B,7.296624958323556
35,18,O,0.0
35,18,Y,20.17411552124619
35,18,B,7.2931185194624355
36,18,O,0.0
36,18,Y,20.198202878233552
36,18,B,7.338452139999484
37,18,O,0.0
37,18,Y,20.185547851402067
37,18,B,7.265295630401323
38,18,O,0.0
38,18,Y,20.193384147642913
38,18,B,7.337353897814738
39,18,O,0.0
39,18,Y,20.171962256237855
39,18,B,7.294420967265311
40,18,O,0.0
40,18,Y,20.19675028463776
40,18,B,7.3307874189421565
41,18,O,0.0
41,18,Y,20.175651041684883
41,18,B,7.286659946925294
42,18,O,0.0
42,18,Y,20.17971410733027
42,18,B,7.3242671267359105
43,18,O,0.0
43,18,Y,20.1707168537581
43,18,B,7.279371030147961
44,18,O,0.0
44,18,Y,20.181655443494996
