y,o,media_estrategias_mantidas,std_estrategias_mantidas
1,1,2.0,0.0
1,2,1.7,0.8102873913406629
1,3,2.0,0.9534625892455922
1,4,2.53,0.5016135580465918
1,5,3.0,0.0
1,6,3.0,0.0
1,7,3.0,0.0
1,8,3.0,0.0
1,9,2.76,0.42923469599092784
1,10,2.0,0.0
1,11,2.0,0.0
1,12,2.0,0.0
1,13,2.0,0.0
1,14,2.0,0.0
1,15,2.0,0.0
1,16,2.0,0.0
1,17,2.0,0.0
1,18,2.0,0.0
1,19,2.0,0.0
1,20,2.0,0.0
1,21,2.0,0.0
1,22,2.0,0.0
1,23,2.0,0.0
1,24,2.0,0.0
2,1,2.0,0.0
2,2,2.88,0.4773665131518841
2,3,3.0,0.0
2,4,3.0,0.0
2,5,3.0,0.0
2,6,3.0,0.0
2,7,3.0,0.0
2,8,3.0,0.0
2,9,3.0,0.0
2,10,3.0,0.0
2,11,2.15,0.988571053224161
2,12,2.0,0.0
2,13,2.0,0.0
2,14,2.0,0.0
2,15,2.0,0.0
2,16,2.0,0.0
2,17,2.0,0.0
2,18,2.0,0.0
2,19,2.0,0.0
2,20,2.0,0.0
2,21,2.0,0.0
2,22,2.0,0.0
2,23,2.0,0.0
2,24,2.0,0.0
3,1,2.04,0.19694638556693236
3,2,3.0,0.0
3,3,3.0,0.0
3,4,3.0,0.0
3,5,3.0,0.0
3,6,3.0,0.0
3,7,3.0,0.0
3,8,3.0,0.0
3,9,3.0,0.0
3,10,3.0,0.0
3,11,2.97,0.22270150335361372
3,12,1.62,0.9296463974234636
3,13,1.0,0.0
3,14,1.99,0.09999999999999999
3,15,2.0,0.0
3,16,2.0,0.0
3,17,2.0,0.0
3,18,2.0,0.0
3,19,2.0,0.0
3,20,2.0,0.0
3,21,2.0,0.0
3,22,2.0,0.0
3,23,2.0,0.0
3,24,2.0,0.0
4,1,2.96,0.19694638556693236
4,2,3.0,0.0
4,3,3.0,0.0
4,4,3.0,0.0
4,5,3.0,0.0
4,6,3.0,0.0
4,7,3.0,0.0
4,8,3.0,0.0
4,9,3.0,0.0
4,10,3.0,0.0
4,11,2.96,0.2814105882725794
4,12,1.76,0.9756634624291265
4,13,1.02,0.19999999999999998
4,14,1.02,0.2
4,15,1.0,0.0
4,16,1.0,0.0
4,17,1.0,0.0
4,18,1.0,0.0
4,19,2.0,0.0
4,20,1.0,0.0
4,21,2.0,0.0
4,22,2.0,0.0
4,23,2.0,0.0
4,24,2.0,0.0
5,1,3.0,0.0
5,2,3.0,0.0
5,3,3.0,0.0
5,4,3.0,0.0
5,5,3.0,0.0
5,6,3.0,0.0
5,7,3.0,0.0
5,8,3.0,0.0
5,9,3.0,0.0
5,10,3.0,0.0
5,11,2.96,0.2814105882725794
5,12,1.78,0.9804142600003944
5,13,1.02,0.19999999999999998
5,14,1.02,0.2
5,15,1.0,0.0
5,16,1.01,0.09999999999999999
5,17,1.0,0.0
5,18,1.0,0.0
5,19,2.0,0.0
5,20,1.0,0.0
5,21,2.0,0.0
5,22,2.0,0.0
5,23,2.0,0.0
5,24,2.0,0.0
6,1,3.0,0.0
6,2,3.0,0.0
6,3,3.0,0.0
6,4,3.0,0.0
6,5,3.0,0.0
6,6,3.0,0.0
6,7,3.0,0.0
6,8,3.0,0.0
6,9,3.0,0.0
6,10,3.0,0.0
6,11,2.98,0.20000000000000004
6,12,1.79,0.9774735523043809
6,13,1.02,0.19999999999999998
6,14,1.02,0.2
6,15,1.0,0.0
6,16,1.01,0.09999999999999999
6,17,1.0,0.0
6,18,1.0,0.0
6,19,2.0,0.0
6,20,1.0,0.0
6,21,2.0,0.0
6,22,2.0,0.0
6,23,2.0,0.0
6,24,2.0,0.0
7,1,3.0,0.0
7,2,3.0,0.0
7,3,3.0,0.0
7,4,3.0,0.0
7,5,3.0,0.0
7,6,3.0,0.0
7,7,3.0,0.0
7,8,3.0,0.0
7,9,3.0,0.0
7,10,3.0,0.0
7,11,2.98,0.20000000000000004
7,12,1.85,0.9885710532241613
7,13,1.02,0.19999999999999998
7,14,1.02,0.2
7,15,1.0,0.0
7,16,1.0,0.0
7,17,1.0,0.0
7,18,1.0,0.0
7,19,2.0,0.0
7,20,1.0,0.0
7,21,2.0,0.0
7,22,2.0,0.0
7,23,2.0,0.0
7,24,2.0,0.0
8,1,3.0,0.0
8,2,3.0,0.0
8,3,3.0,0.0
8,4,3.0,0.0
8,5,3.0,0.0
8,6,3.0,0.0
8,7,3.0,0.0
8,8,3.0,0.0
8,9,3.0,0.0
8,10,3.0,0.0
8,11,2.96,0.28141058827257937
8,12,1.85,0.9885710532241613
8,13,1.02,0.19999999999999998
8,14,1.02,0.2
8,15,1.0,0.0
8,16,1.0,0.0
8,17,1.0,0.0
8,18,1.0,0.0
8,19,2.0,0.0
8,20,1.0,0.0
8,21,2.0,0.0
8,22,2.0,0.0
8,23,2.0,0.0
8,24,2.0,0.0
9,1,3.0,0.0
9,2,3.0,0.0
9,3,3.0,0.0
9,4,3.0,0.0
9,5,3.0,0.0
9,6,3.0,0.0
9,7,3.0,0.0
9,8,3.0,0.0
9,9,3.0,0.0
9,10,3.0,0.0
9,11,3.0,0.0
9,12,2.46,0.8923920866769472
9,13,1.4,0.8040302522073697
9,14,1.06,0.3428932159955306
9,15,1.0,0.0
9,16,1.08,0.2726599243442907
9,17,1.0,0.0
9,18,1.0,0.0
9,19,1.0,0.0
9,20,1.0,0.0
9,21,1.0,0.0
9,22,1.0,0.0
9,23,1.37,0.4852365870939097
9,24,1.39,0.49020713000019717
10,1,2.99,0.1
10,2,3.0,0.0
10,3,3.0,0.0
10,4,3.0,0.0
10,5,3.0,0.0
10,6,3.0,0.0
10,7,3.0,0.0
10,8,3.0,0.0
10,9,3.0,0.0
10,10,3.0,0.0
10,11,3.0,0.0
10,12,2.68,0.7369058983549414
10,13,1.34,0.7550503361372737
10,14,1.12,0.47736651315188416
10,15,1.0,0.0
10,16,1.0,0.0
10,17,1.0,0.0
10,18,1.0,0.0
10,19,1.0,0.0
10,20,1.0,0.0
10,21,1.0,0.0
10,22,1.0,0.0
10,23,1.0,0.0
10,24,1.0,0.0
11,1,2.73,0.5096047190685832
11,2,2.76,0.6531972647421809
11,3,2.87,0.48523658709390977
11,4,2.98,0.19999999999999998
11,5,2.98,0.19999999999999998
11,6,2.98,0.19999999999999998
11,7,2.98,0.19999999999999998
11,8,2.98,0.19999999999999998
11,9,3.0,0.0
11,10,3.0,0.0
11,11,3.0,0.0
11,12,2.78,0.6289320754704405
11,13,1.5,0.8703882797784891
11,14,1.14,0.5128647999524857
11,15,1.0,0.0
11,16,1.0,0.0
11,17,1.0,0.0
11,18,1.0,0.0
11,19,1.0,0.0
11,20,1.0,0.0
11,21,1.0,0.0
11,22,1.0,0.0
11,23,1.0,0.0
11,24,1.0,0.0
12,1,1.41,0.668104510060841
12,2,1.46,0.8459051693633014
12,3,1.54,0.8923920866769471
12,4,1.7,0.9587449708822046
12,5,1.72,0.9648363026488435
12,6,1.7,0.9587449708822043
12,7,1.72,0.9648363026488435
12,8,1.72,0.9648363026488435
12,9,2.58,0.8187203614806646
12,10,2.74,0.6759953379792623
12,11,2.68,0.7369058983549412
12,12,2.16,0.9920899274977163
12,13,1.44,0.8326663997864531
12,14,1.06,0.3428932159955306
12,15,1.02,0.2
12,16,1.0,0.0
12,17,1.0,0.0
12,18,1.0,0.0
12,19,1.0,0.0
12,20,1.0,0.0
12,21,1.0,0.0
12,22,1.0,0.0
12,23,1.0,0.0
12,24,1.0,0.0
13,1,1.03,0.22270150335361363
13,2,1.04,0.28141058827257937
13,3,1.02,0.19999999999999998
13,4,1.02,0.19999999999999998
13,5,1.02,0.19999999999999998
13,6,1.01,0.09999999999999999
13,7,1.01,0.09999999999999999
13,8,1.01,0.09999999999999999
13,9,1.2,0.6030226891555273
13,10,1.54,0.8923920866769474
13,11,1.54,0.8923920866769474
13,12,1.46,0.8459051693633015
13,13,1.1,0.4380858271151807
13,14,1.03,0.22270150335361363
13,15,1.02,0.14070529413628968
13,16,1.02,0.14070529413628968
13,17,1.02,0.19999999999999998
13,18,1.0,0.0
13,19,1.0,0.0
13,20,1.0,0.0
13,21,1.0,0.0
13,22,1.0,0.0
13,23,1.0,0.0
13,24,1.0,0.0
14,1,1.0,0.0
14,2,1.0,0.0
14,3,1.0,0.0
14,4,1.0,0.0
14,5,1.0,0.0
14,6,1.0,0.0
14,7,1.0,0.0
14,8,1.0,0.0
14,9,1.0,0.0
14,10,1.0,0.0
14,11,1.12,0.4773665131518841
