y,o,prop_B_mantida,prop_O_mantida,prop_Y_mantida
1,1,1.0,1.0,0.0
1,2,0.22,0.99,0.49
1,3,0.45,0.57,0.98
1,4,0.53,1.0,1.0
1,5,1.0,1.0,1.0
1,6,1.0,1.0,1.0
1,7,1.0,1.0,1.0
1,8,1.0,1.0,1.0
1,9,0.76,1.0,1.0
1,10,0.0,1.0,1.0
1,11,0.0,1.0,1.0
1,12,0.0,1.0,1.0
1,13,0.0,1.0,1.0
1,14,0.0,1.0,1.0
1,15,0.0,1.0,1.0
1,16,0.0,1.0,1.0
1,17,0.0,1.0,1.0
1,18,0.0,1.0,1.0
1,19,0.0,1.0,1.0
1,20,0.0,1.0,1.0
1,21,0.0,1.0,1.0
1,22,0.0,1.0,1.0
1,23,0.0,1.0,1.0
1,24,0.0,1.0,1.0
2,1,1.0,1.0,0.0
2,2,0.94,0.95,0.99
2,3,1.0,1.0,1.0
2,4,1.0,1.0,1.0
2,5,1.0,1.0,1.0
2,6,1.0,1.0,1.0
2,7,1.0,1.0,1.0
2,8,1.0,1.0,1.0
2,9,1.0,1.0,1.0
2,10,1.0,1.0,1.0
2,11,0.57,0.58,1.0
2,12,0.0,1.0,1.0
2,13,0.0,1.0,1.0
2,14,0.0,1.0,1.0
2,15,0.0,1.0,1.0
2,16,0.0,1.0,1.0
2,17,0.0,1.0,1.0
2,18,0.0,1.0,1.0
2,19,0.0,1.0,1.0
2,20,0.0,1.0,1.0
2,21,0.0,1.0,1.0
2,22,0.0,1.0,1.0
2,23,0.0,1.0,1.0
2,24,0.0,1.0,1.0
3,1,1.0,1.0,0.04
3,2,1.0,1.0,1.0
3,3,1.0,1.0,1.0
3,4,1.0,1.0,1.0
3,5,1.0,1.0,1.0
3,6,1.0,1.0,1.0
3,7,1.0,1.0,1.0
3,8,1.0,1.0,1.0
3,9,1.0,1.0,1.0
3,10,1.0,1.0,1.0
3,11,0.98,0.99,1.0
3,12,0.32,0.31,0.99
3,13,0.0,0.0,1.0
3,14,0.0,0.99,1.0
3,15,0.0,1.0,1.0
3,16,0.0,1.0,1.0
3,17,0.0,1.0,1.0
3,18,0.0,1.0,1.0
3,19,0.0,1.0,1.0
3,20,0.0,1.0,1.0
3,21,0.0,1.0,1.0
3,22,0.0,1.0,1.0
3,23,0.0,1.0,1.0
3,24,0.0,1.0,1.0
4,1,1.0,1.0,0.96
4,2,1.0,1.0,1.0
4,3,1.0,1.0,1.0
4,4,1.0,1.0,1.0
4,5,1.0,1.0,1.0
4,6,1.0,1.0,1.0
4,7,1.0,1.0,1.0
4,8,1.0,1.0,1.0
4,9,1.0,1.0,1.0
4,10,1.0,1.0,1.0
4,11,1.0,0.98,0.98
4,12,0.55,0.38,0.83
4,13,0.03,0.01,0.98
4,14,0.01,0.01,1.0
4,15,0.0,0.0,1.0
4,16,0.0,0.0,1.0
4,17,0.0,0.0,1.0
4,18,0.0,0.0,1.0
4,19,0.0,1.0,1.0
