Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,52.51874573960463,54.164995908346974,53.748241912798875,53.41085,1
2,47.05603038936372,51.188049095607234,49.64043082021541,50.56615,1
3,43.97575757575758,49.4572152653548,46.67589466576637,48.4525,1
4,44.23762376237624,48.57562568008705,40.7372525494901,44.4804,1
5,43.460191082802545,48.623941493456506,36.17744316504281,39.8684,1
6,43.606617647058826,49.64710813076278,32.162780152869544,35.49375,1
7,44.27658839779006,52.38461538461539,27.95509487912659,32.4145,1
8,43.941158348736906,53.73713550600343,26.14637359589516,32.25155,1
9,43.47644927536232,53.31294964028777,25.52404134212103,33.13215,1
10,43.62313674659754,52.82735208535402,26.913057075840502,34.83495,1
11,42.94352869352869,52.479536152796726,28.083400941100113,35.8822,1
12,42.978998849252015,52.61248892825509,29.355429713524316,36.97465,1
13,42.253884572697004,53.250107158165456,30.171355498721226,37.7329,1
14,42.2210953346856,53.33054307880768,30.64904104678258,38.48575,1
15,41.71733730750124,53.38594594594595,31.104950115118957,39.4242,1
16,42.14151398264224,53.45860196810315,32.416248242619,40.63445,1
17,41.45137763371151,53.4313607689997,33.15342323651452,41.4399,1
18,41.03731815306768,52.86401855610322,34.30160965794769,41.7687,1
19,39.9435537742151,52.80137789504544,34.031225451688925,41.3188,1
20,40.12574404761905,52.70118712902218,34.09083409715857,40.8591,1
21,40.44398183194549,52.21424020388659,32.09016245487365,39.51065,1
22,40.24765990639626,52.71611471491977,31.98358956641907,39.1156,1
23,40.575511644318986,52.63139204545455,30.918501820704005,38.40125,1
24,41.21700507614213,52.63153399385036,30.077042022921592,38.4344,1
25,41.538590604026844,52.468088370665846,30.26214054465816,39.17925,1
26,40.293103448275865,52.07216940363008,31.164994320333207,39.56015,1
27,40.63049962714392,52.03200502039535,31.883315058479532,39.4777,1
28,41.12115127175368,51.92246423927178,31.32403314917127,39.1238,1
29,41.87956621004566,51.76830024813896,30.073646496815286,39.1364,1
30,41.27732240437158,52.199508733624455,30.158011540168665,40.26885,1
31,41.459270516717325,51.70664206642066,30.129136601144562,41.34895,1
32,39.354330708661415,51.84559118236473,30.378079158593966,42.34435,1
33,40.445925361766946,50.991089851810166,31.217222884386175,42.9704,1
34,39.02272727272727,50.85902888534468,31.73112128146453,43.47145,1
35,41.17640532544379,50.322469982847345,32.883782824698365,44.1717,1
36,42.42905982905983,49.84903301100367,33.6875,44.40395,1
37,42.58216350123865,49.52457320227625,35.08729096989966,44.3671,1
38,42.380145278450364,49.57556561085973,35.87391841779975,44.2502,1
39,41.89975144987572,49.949970800077864,36.35940919037199,44.0096,1
40,39.11990740740741,50.67531397982294,35.388013782919025,43.2161,1
41,39.49400171379606,50.91949910554562,34.18172437514332,42.2868,1
42,37.85302197802198,51.164504585104005,32.368041469461346,41.3709,1
43,39.3897122929381,51.2016632016632,31.846374889478337,41.0905,1
44,36.16650342801175,51.70822942643392,31.225481611208405,40.7649,1
45,37.761160714285715,51.48499440089586,30.21744054360136,40.5583,1
46,36.29322328410078,51.82612841703751,29.814648910411623,40.94755,1
47,40.40069018404908,50.9979744784282,29.58925246076084,41.56855,1
48,36.84867172675522,51.14962121212121,29.538800705467374,42.2903,1
49,41.00438212094654,50.3101958017287,30.922727272727272,43.0638,1
50,36.89029535864979,50.64840871021776,32.222582738481506,43.6653,1
51,39.537151702786375,50.157123381049765,33.69585836231426,43.92135,1
52,37.86989247311828,50.338321799307955,34.29437689969605,43.9003,1
53,39.07630736392743,50.25954337899543,35.052675585284284,43.75545,1
54,39.456613756613756,50.35037081579475,35.32193802262666,43.21035,1
55,38.88297872340426,50.56032719836401,35.11365099806825,42.26605,1
56,40.495098039215684,50.76475524475524,34.87881591119334,41.1309,1
57,38.77295162882527,51.810667608618864,34.14181286549707,39.613,1
