Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,22.27789648622982,31.030526992287918,12.825,23.6209,1
2,24.465733482642776,39.59836808703536,27.75,32.81795,1
3,25.062111801242235,47.03822649039661,51.850710900473935,43.2478,1
4,26.11795407098121,47.95658310749774,45.31203007518797,46.73465,1
5,26.477941176470587,48.29559012750029,37.873825018076644,46.7059,1
6,28.333333333333332,47.89464729747415,32.46595744680851,44.2513,1
7,0.0,47.202816901408454,28.04147465437788,40.9658,1
8,0.0,46.80208704958972,27.284365043240783,38.226,1
9,0.0,44.92257858963467,24.375188964474678,34.0489,1
10,0.0,43.8917004048583,25.42884439009477,31.8133,1
11,0.0,38.02012234385061,21.575790542500727,26.6834,1
12,0.0,36.21277145811789,25.159124721051327,27.2969,1
13,0.0,27.817349137931036,19.785117878192533,21.2759,1
14,0.0,24.860773899848255,22.019983874683252,22.3944,1
15,0.0,19.901413427561838,19.071228887594643,19.1887,1
16,0.0,19.972942920681987,20.27216506762224,20.2318,1
17,0.0,19.58564814814815,19.811121323529413,19.7819,1
18,0.0,19.212339743589745,19.521023765996343,19.4825,1
19,0.0,18.730577998756992,19.413836253128352,19.3039,1
20,0.0,19.35956325301205,22.576625922509226,22.1494,1
21,0.0,18.457787958115183,20.142882436260624,19.8854,1
22,0.0,19.21339434276206,21.62679017958627,21.3367,1
23,0.0,18.730743243243243,18.901467136150234,18.8762,1
24,0.0,19.644090305444887,21.429008712032022,21.1602,1
25,0.0,18.79771265189421,21.64690152307871,21.2483,1
26,0.0,19.203331238214957,20.80205731953859,20.5477,1
27,0.0,18.8815318539728,22.605777054515865,22.0855,1
28,0.0,18.654592496765847,20.91140288620771,20.5625,1
29,0.0,18.949657534246576,22.258138173302108,21.7751,1
30,0.0,18.868222374742622,21.368137656560926,21.0039,1
31,0.0,19.361278195488723,21.058419838523644,20.8327,1
32,0.0,18.009811320754718,19.895331412103747,19.6455,1
33,0.0,19.254069355980185,19.93164085245138,19.8359,1
34,0.0,19.55024255024255,20.682949631880334,20.5195,1
35,0.0,19.107709750566894,21.0202258845223,20.7672,1
36,0.0,18.605862068965518,19.963099415204677,19.7663,1
37,0.0,19.256331279945243,21.243529687317015,20.9532,1
38,0.0,19.415562913907284,21.356360424028267,21.0633,1
39,0.0,19.52169689119171,21.917514191106907,21.5476,1
40,0.0,18.803867403314918,22.029817586529468,21.5627,1
41,0.0,18.878894080996886,21.042737494263424,20.7649,1
42,0.0,19.30146590184831,19.593405290001186,19.5476,1
43,0.0,19.18932411674347,22.086054265348356,21.7089,1
44,0.0,18.405691594970218,19.93697726469549,19.7056,1
45,0.0,19.410666666666668,21.813882352941178,21.4534,1
46,0.0,18.504322766570606,21.724918718067812,21.2779,1
47,0.0,18.99672250546249,20.712124724701518,20.4766,1
48,0.0,19.05872594558726,20.480572235959023,20.2663,1
49,0.0,18.999643874643876,21.663157282456957,21.2892,1
50,0.0,18.92751842751843,20.96213569039656,20.6309,1
51,0.0,18.757933579335795,22.690803932909198,22.1579,1
52,0.0,19.13920265780731,20.26280164802825,20.0937,1
53,0.0,19.022935779816514,21.54578923147722,21.2158,1
54,0.0,19.208256880733945,19.8415421398685,19.738,1
55,0.0,19.53138847858198,22.687774693499886,22.2604,1
56,0.0,17.907073509015255,20.267352185089976,19.927,1
57,0.0,19.848262548262547,20.879781734635266,20.7462,1
58,0.0,18.557507987220447,19.815589804386484,19.6187,1
59,0.0,19.82701754385965,22.199475218658893,21.8614,1
60,0.0,18.956687456687458,20.73921935257684,20.482,1
61,0.0,18.695929768555466,20.824854235737966,20.5581,1
62,0.0,18.411225238444608,19.30838254023388,19.1861,1
63,0.0,18.59706470980654,20.418774261851546,20.1457,1
64,0.0,18.30551181102362,21.495761741122564,21.0906,1
65,0.0,17.523686158401183,19.469591860330674,19.2067,1
66,0.0,18.96162528216704,20.199169645946256,20.0347,1
67,0.0,18.175805346127486,19.987413651797212,19.7231,1
68,0.0,18.807218309859156,21.13346119133574,20.8692,1
69,0.0,18.23495702005731,18.21571362157136,18.2184,1
70,0.0,18.68856259659969,20.58476912474156,20.3394,1
71,0.0,19.5494205862304,19.609164420485175,19.6004,1
72,0.0,18.624907885040532,21.181418488950595,20.8345,1
73,0.0,18.707749077490774,20.349913244650086,20.1274,1
74,0.0,18.69015580736544,20.26996972519795,20.0469,1
75,0.0,19.81177381874516,20.551613273624987,20.4561,1
76,0.0,18.64516129032258,19.641812009832613,19.4966,1
77,0.0,19.1019313304721,21.108521274122296,20.828,1
78,0.0,18.770279971284996,20.8476821192053,20.5583,1
79,0.0,18.957911392405062,20.833194774346794,20.5369,1
80,0.0,19.55986842105263,22.17877358490566,21.7807,1
81,0.0,18.36574450772986,21.507182761372704,21.1211,1
82,0.0,18.85818422796554,19.07313626192439,19.0407,1
83,0.0,19.441932969602494,21.42984971894,21.1748,1
84,0.0,18.17264895908112,19.662542116881607,19.455,1
85,0.0,19.02930402930403,20.76560631427888,20.4812,1
86,0.0,19.256231671554254,22.801817971283,22.3182,1
87,0.0,18.48792093704246,20.45442436877461,20.1858,1
88,0.0,18.876712328767123,20.601747962678633,20.3373,1
89,0.0,19.293035479632064,21.943618778013683,21.5402,1
90,0.0,18.867973372781066,21.593374190564294,21.2249,1
91,0.0,19.113861386138613,19.996971814581876,19.8721,1
92,0.0,19.618961788031722,20.52217578079647,20.3969,1
93,0.0,19.420529801324502,20.2421594722833,20.1305,1
94,0.0,18.925875085792725,20.255764953763315,20.062,1
95,0.0,19.104456824512535,21.1373190098085,20.8454,1
96,0.0,18.546955245781366,21.02842422137316,20.6902,1
97,0.0,18.72226148409894,20.52871287128713,20.2731,1
98,0.0,18.434120335110435,20.732243582364454,20.4305,1
99,0.0,19.08944374209861,20.026669042527917,19.8784,1
100,0.0,19.141482537419815,22.38810050017448,21.9326,1
101,0.0,19.148403256105198,20.8254194930382,20.5576,1
