"","Generation","strategy","freq_media"
"1",0,"B",0.49527
"2",0,"O",0.4948
"3",0,"Y",0.00993
"4",1,"B",0.001806
"5",1,"O",0.84476
"6",1,"Y",0.153434
"7",2,"B",0.001658
"8",2,"O",0.469837
"9",2,"Y",0.528505
"10",3,"B",0.011584
"11",3,"O",0.196513
"12",3,"Y",0.791903
"13",4,"B",0.04021
"14",4,"O",0.059523
"15",4,"Y",0.900267
"16",5,"B",0.09114
"17",5,"O",0.0131
"18",5,"Y",0.89576
"19",6,"B",0.158428
"20",6,"O",0.001877
"21",6,"Y",0.839695
"22",7,"B",0.23273
"23",7,"O",0.00024
"24",7,"Y",0.76703
"25",8,"B",0.30569
"26",8,"O",2.3e-05
"27",8,"Y",0.694287
"28",9,"B",0.388518
"29",9,"O",0
"30",9,"Y",0.611482
"31",10,"B",0.47583
"32",10,"O",0
"33",10,"Y",0.52417
"34",11,"B",0.553231
"35",11,"O",0
"36",11,"Y",0.446769
"37",12,"B",0.5915
"38",12,"O",0
"39",12,"Y",0.4085
"40",13,"B",0.64104
"41",13,"O",0
"42",13,"Y",0.35896
"43",14,"B",0.678723
"44",14,"O",0
"45",14,"Y",0.321277
"46",15,"B",0.728036
"47",15,"O",0
"48",15,"Y",0.271964
"49",16,"B",0.754668
"50",16,"O",0
"51",16,"Y",0.245332
"52",17,"B",0.796519
"53",17,"O",0
"54",17,"Y",0.203481
"55",18,"B",0.82243
"56",18,"O",0
"57",18,"Y",0.17757
"58",19,"B",0.838954
"59",19,"O",0
"60",19,"Y",0.161046
"61",20,"B",0.832006
"62",20,"O",0
"63",20,"Y",0.167994
"64",21,"B",0.832361
"65",21,"O",0
"66",21,"Y",0.167639
"67",22,"B",0.834487
"68",22,"O",0
"69",22,"Y",0.165513
"70",23,"B",0.831838
"71",23,"O",0
"72",23,"Y",0.168162
"73",24,"B",0.831329
"74",24,"O",0
"75",24,"Y",0.168671
"76",25,"B",0.832869
"77",25,"O",0
"78",25,"Y",0.167131
"79",26,"B",0.832859
"80",26,"O",0
"81",26,"Y",0.167141
"82",27,"B",0.832693
"83",27,"O",0
"84",27,"Y",0.167307
"85",28,"B",0.830973
"86",28,"O",0
"87",28,"Y",0.169027
"88",29,"B",0.833905
"89",29,"O",0
"90",29,"Y",0.166095
"91",30,"B",0.831272
"92",30,"O",0
"93",30,"Y",0.168728
"94",31,"B",0.835871
"95",31,"O",0
"96",31,"Y",0.164129
"97",32,"B",0.830823
"98",32,"O",0
"99",32,"Y",0.169177
"100",33,"B",0.834034
"101",33,"O",0
"102",33,"Y",0.165966
"103",34,"B",0.831051
"104",34,"O",0
"105",34,"Y",0.168949
"106",35,"B",0.83269
"107",35,"O",0
"108",35,"Y",0.16731
"109",36,"B",0.831113
"110",36,"O",0
"111",36,"Y",0.168887
"112",37,"B",0.83336
"113",37,"O",0
"114",37,"Y",0.16664
"115",38,"B",0.830112
"116",38,"O",0
"117",38,"Y",0.169888
"118",39,"B",0.834039
"119",39,"O",0
"120",39,"Y",0.165961
"121",40,"B",0.83031
"122",40,"O",0
"123",40,"Y",0.16969
"124",41,"B",0.833754
"125",41,"O",0
"126",41,"Y",0.166246
"127",42,"B",0.827681
"128",42,"O",0
"129",42,"Y",0.172319
"130",43,"B",0.834679
"131",43,"O",0
"132",43,"Y",0.165321
"133",44,"B",0.830541
"134",44,"O",0
"135",44,"Y",0.169459
"136",45,"B",0.834201
"137",45,"O",0
"138",45,"Y",0.165799
"139",46,"B",0.829786
"140",46,"O",0
"141",46,"Y",0.170214
"142",47,"B",0.834966
"143",47,"O",0
"144",47,"Y",0.165034
"145",48,"B",0.830991
"146",48,"O",0
"147",48,"Y",0.169009
"148",49,"B",0.833974
"149",49,"O",0
"150",49,"Y",0.166026
"151",50,"B",0.830655
"152",50,"O",0
"153",50,"Y",0.169345
"154",51,"B",0.834461
"155",51,"O",0
"156",51,"Y",0.165539
"157",52,"B",0.829539
"158",52,"O",0
"159",52,"Y",0.170461
"160",53,"B",0.834297
"161",53,"O",0
"162",53,"Y",0.165703
"163",54,"B",0.830978
"164",54,"O",0
"165",54,"Y",0.169022
"166",55,"B",0.831713
"167",55,"O",0
"168",55,"Y",0.168287
"169",56,"B",0.832665
"170",56,"O",0
"171",56,"Y",0.167335
"172",57,"B",0.832643
"173",57,"O",0
"174",57,"Y",0.167357
"175",58,"B",0.832314
"176",58,"O",0
"177",58,"Y",0.167686
"178",59,"B",0.83276
"179",59,"O",0
"180",59,"Y",0.16724
"181",60,"B",0.830875
"182",60,"O",0
"183",60,"Y",0.169125
"184",61,"B",0.832975
"185",61,"O",0
"186",61,"Y",0.167025
"187",62,"B",0.830288
"188",62,"O",0
"189",62,"Y",0.169712
"190",63,"B",0.833619
"191",63,"O",0
"192",63,"Y",0.166381
"193",64,"B",0.833472
"194",64,"O",0
"195",64,"Y",0.166528
"196",65,"B",0.829314
"197",65,"O",0
"198",65,"Y",0.170686
"199",66,"B",0.83238
"200",66,"O",0
"201",66,"Y",0.16762
"202",67,"B",0.832358
"203",67,"O",0
"204",67,"Y",0.167642
"205",68,"B",0.833321
"206",68,"O",0
"207",68,"Y",0.166679
"208",69,"B",0.83185
"209",69,"O",0
"210",69,"Y",0.16815
"211",70,"B",0.833933
"212",70,"O",0
"213",70,"Y",0.166067
"214",71,"B",0.832218
"215",71,"O",0
"216",71,"Y",0.167782
"217",72,"B",0.833035
"218",72,"O",0
"219",72,"Y",0.166965
"220",73,"B",0.831464
"221",73,"O",0
"222",73,"Y",0.168536
"223",74,"B",0.835695
"224",74,"O",0
"225",74,"Y",0.164305
"226",75,"B",0.830942
"227",75,"O",0
"228",75,"Y",0.169058
"229",76,"B",0.831606
"230",76,"O",0
"231",76,"Y",0.168394
"232",77,"B",0.831587
"233",77,"O",0
"234",77,"Y",0.168413
"235",78,"B",0.833006
"236",78,"O",0
"237",78,"Y",0.166994
"238",79,"B",0.833027
"239",79,"O",0
"240",79,"Y",0.166973
"241",80,"B",0.831304
"242",80,"O",0
"243",80,"Y",0.168696
"244",81,"B",0.832377
"245",81,"O",0
"246",81,"Y",0.167623
"247",82,"B",0.832207
"248",82,"O",0
"249",82,"Y",0.167793
"250",83,"B",0.83075
"251",83,"O",0
"252",83,"Y",0.16925
"253",84,"B",0.831883
"254",84,"O",0
"255",84,"Y",0.168117
"256",85,"B",0.830559
"257",85,"O",0
"258",85,"Y",0.169441
"259",86,"B",0.832083
"260",86,"O",0
"261",86,"Y",0.167917
"262",87,"B",0.832553
"263",87,"O",0
"264",87,"Y",0.167447
"265",88,"B",0.833694
"266",88,"O",0
"267",88,"Y",0.166306
"268",89,"B",0.833237
"269",89,"O",0
"270",89,"Y",0.166763
"271",90,"B",0.831815
"272",90,"O",0
"273",90,"Y",0.168185
"274",91,"B",0.833325
"275",91,"O",0
"276",91,"Y",0.166675
"277",92,"B",0.832602
"278",92,"O",0
"279",92,"Y",0.167398
"280",93,"B",0.832956
"281",93,"O",0
"282",93,"Y",0.167044
"283",94,"B",0.832952
"284",94,"O",0
"285",94,"Y",0.167048
"286",95,"B",0.833058
"287",95,"O",0
"288",95,"Y",0.166942
"289",96,"B",0.834183
"290",96,"O",0
"291",96,"Y",0.165817
"292",97,"B",0.831094
"293",97,"O",0
"294",97,"Y",0.168906
"295",98,"B",0.83412
"296",98,"O",0
"297",98,"Y",0.16588
"298",99,"B",0.832283
"299",99,"O",0
"300",99,"Y",0.167717
"301",100,"B",0.832689
"302",100,"O",0
"303",100,"Y",0.167311
"304",101,"B",0.832411
"305",101,"O",0
"306",101,"Y",0.167589
"307",102,"B",0.834421
"308",102,"O",0
"309",102,"Y",0.165579
"310",103,"B",0.832311
"311",103,"O",0
"312",103,"Y",0.167689
"313",104,"B",0.832518
"314",104,"O",0
"315",104,"Y",0.167482
"316",105,"B",0.832444
"317",105,"O",0
"318",105,"Y",0.167556
"319",106,"B",0.832627
"320",106,"O",0
"321",106,"Y",0.167373
"322",107,"B",0.83104
"323",107,"O",0
"324",107,"Y",0.16896
"325",108,"B",0.83205
"326",108,"O",0
"327",108,"Y",0.16795
"328",109,"B",0.833902
"329",109,"O",0
"330",109,"Y",0.166098
"331",110,"B",0.829981
"332",110,"O",0
"333",110,"Y",0.170019
"334",111,"B",0.833976
"335",111,"O",0
"336",111,"Y",0.166024
"337",112,"B",0.832894
"338",112,"O",0
"339",112,"Y",0.167106
"340",113,"B",0.832148
"341",113,"O",0
"342",113,"Y",0.167852
"343",114,"B",0.832442
"344",114,"O",0
"345",114,"Y",0.167558
"346",115,"B",0.832513
"347",115,"O",0
"348",115,"Y",0.167487
"349",116,"B",0.829709
"350",116,"O",0
"351",116,"Y",0.170291
"352",117,"B",0.833681
"353",117,"O",0
"354",117,"Y",0.166319
"355",118,"B",0.831364
"356",118,"O",0
"357",118,"Y",0.168636
"358",119,"B",0.83293
"359",119,"O",0
"360",119,"Y",0.16707
"361",120,"B",0.829749
"362",120,"O",0
"363",120,"Y",0.170251
"364",121,"B",0.834407
"365",121,"O",0
"366",121,"Y",0.165593
"367",122,"B",0.830574
"368",122,"O",0
"369",122,"Y",0.169426
"370",123,"B",0.833394
"371",123,"O",0
"372",123,"Y",0.166606
"373",124,"B",0.831822
"374",124,"O",0
"375",124,"Y",0.168178
"376",125,"B",0.832231
"377",125,"O",0
"378",125,"Y",0.167769
"379",126,"B",0.832015
"380",126,"O",0
"381",126,"Y",0.167985
"382",127,"B",0.832581
"383",127,"O",0
"384",127,"Y",0.167419
"385",128,"B",0.8319
"386",128,"O",0
"387",128,"Y",0.1681
"388",129,"B",0.833194
"389",129,"O",0
"390",129,"Y",0.166806
"391",130,"B",0.833012
"392",130,"O",0
"393",130,"Y",0.166988
"394",131,"B",0.831955
"395",131,"O",0
"396",131,"Y",0.168045
"397",132,"B",0.83165
"398",132,"O",0
"399",132,"Y",0.16835
"400",133,"B",0.833873
"401",133,"O",0
"402",133,"Y",0.166127
"403",134,"B",0.832314
"404",134,"O",0
"405",134,"Y",0.167686
"406",135,"B",0.833476
"407",135,"O",0
"408",135,"Y",0.166524
"409",136,"B",0.83198
"410",136,"O",0
"411",136,"Y",0.16802
"412",137,"B",0.834609
"413",137,"O",0
"414",137,"Y",0.165391
"415",138,"B",0.831263
"416",138,"O",0
"417",138,"Y",0.168737
"418",139,"B",0.834189
