Generation,O,Y,B,sim
0,0.4884,0.5009,0.0107,1
1,0.0,0.9992,0.0008,1
2,0.0,0.9758,0.0242,1
3,0.0,0.9236,0.0764,1
4,0.0,0.8474,0.1526,1
5,0.0,0.7376,0.2624,1
6,0.0,0.6806,0.3194,1
7,0.0,0.4981,0.5019,1
8,0.0,0.3572,0.6428,1
9,0.0,0.2156,0.7844,1
10,0.0,0.1889,0.8111,1
11,0.0,0.2491,0.7509,1
12,0.0,0.1453,0.8547,1
13,0.0,0.2048,0.7952,1
14,0.0,0.1077,0.8923,1
15,0.0,0.1997,0.8003,1
16,0.0,0.0888,0.9112,1
17,0.0,0.1486,0.8514,1
18,0.0,0.1073,0.8927,1
19,0.0,0.1853,0.8147,1
20,0.0,0.1132,0.8868,1
21,0.0,0.1428,0.8572,1
22,0.0,0.1316,0.8684,1
23,0.0,0.16,0.84,1
24,0.0,0.1247,0.8753,1
25,0.0,0.1512,0.8488,1
26,0.0,0.1334,0.8666,1
27,0.0,0.164,0.836,1
28,0.0,0.1361,0.8639,1
29,0.0,0.1669,0.8331,1
30,0.0,0.1211,0.8789,1
31,0.0,0.146,0.854,1
32,0.0,0.151,0.849,1
33,0.0,0.1401,0.8599,1
34,0.0,0.1333,0.8667,1
35,0.0,0.1348,0.8652,1
36,0.0,0.1539,0.8461,1
37,0.0,0.1183,0.8817,1
38,0.0,0.143,0.857,1
39,0.0,0.1417,0.8583,1
40,0.0,0.1351,0.8649,1
41,0.0,0.1482,0.8518,1
42,0.0,0.1623,0.8377,1
43,0.0,0.1367,0.8633,1
44,0.0,0.1362,0.8638,1
45,0.0,0.1521,0.8479,1
46,0.0,0.1333,0.8667,1
47,0.0,0.1323,0.8677,1
48,0.0,0.1375,0.8625,1
49,0.0,0.1323,0.8677,1
50,0.0,0.1418,0.8582,1
51,0.0,0.139,0.861,1
52,0.0,0.1769,0.8231,1
53,0.0,0.1414,0.8586,1
54,0.0,0.1568,0.8432,1
55,0.0,0.1371,0.8629,1
56,0.0,0.16,0.84,1
57,0.0,0.1152,0.8848,1
58,0.0,0.1509,0.8491,1
59,0.0,0.137,0.863,1
60,0.0,0.1632,0.8368,1
61,0.0,0.1072,0.8928,1
62,0.0,0.1564,0.8436,1
63,0.0,0.1219,0.8781,1
64,0.0,0.1703,0.8297,1
65,0.0,0.11,0.89,1
66,0.0,0.157,0.843,1
67,0.0,0.1312,0.8688,1
68,0.0,0.1571,0.8429,1
69,0.0,0.1276,0.8724,1
70,0.0,0.1526,0.8474,1
71,0.0,0.1194,0.8806,1
72,0.0,0.1447,0.8553,1
73,0.0,0.1337,0.8663,1
74,0.0,0.1457,0.8543,1
75,0.0,0.1189,0.8811,1
76,0.0,0.1606,0.8394,1
77,0.0,0.1341,0.8659,1
78,0.0,0.16,0.84,1
79,0.0,0.1412,0.8588,1
80,0.0,0.1589,0.8411,1
81,0.0,0.1272,0.8728,1
82,0.0,0.1604,0.8396,1
83,0.0,0.12,0.88,1
84,0.0,0.1443,0.8557,1
85,0.0,0.1243,0.8757,1
86,0.0,0.147,0.853,1
87,0.0,0.1238,0.8762,1
88,0.0,0.1523,0.8477,1
89,0.0,0.1289,0.8711,1
90,0.0,0.167,0.833,1
91,0.0,0.1324,0.8676,1
92,0.0,0.1464,0.8536,1
93,0.0,0.1359,0.8641,1
94,0.0,0.1676,0.8324,1
95,0.0,0.1229,0.8771,1
96,0.0,0.171,0.829,1
97,0.0,0.1179,0.8821,1
98,0.0,0.1636,0.8364,1
99,0.0,0.1393,0.8607,1
