"","Generation","strategy","fit_media"
"1",0,"fit_B",0
"2",0,"fit_O",0
"3",0,"fit_Y",0
"4",0,"fit_total",0
"5",1,"fit_B",43.9317168726745
"6",1,"fit_O",31.2894573835514
"7",1,"fit_Y",42.2359127504618
"8",1,"fit_total",42.210107
"9",2,"fit_B",48.856203710642
"10",2,"fit_O",0
"11",2,"fit_Y",48.1217132563455
"12",2,"fit_total",48.3881235
"13",3,"fit_B",38.464142842672
"14",3,"fit_O",0
"15",3,"fit_Y",47.3551110332299
"16",3,"fit_total",40.598514
"17",4,"fit_B",21.0634709171837
"18",4,"fit_O",0
"19",4,"fit_Y",34.0348638483076
"20",4,"fit_total",22.592469
"21",5,"fit_B",15.9558271179814
"22",5,"fit_O",0
"23",5,"fit_Y",21.2791066789275
"24",5,"fit_total",16.473061
"25",6,"fit_B",15.6449220711251
"26",6,"fit_O",0
"27",6,"fit_Y",20.1389163301807
"28",6,"fit_total",16.193808
"29",7,"fit_B",18.4852695787966
"30",7,"fit_O",0
"31",7,"fit_Y",19.9058627115798
"32",7,"fit_total",18.660025
"33",8,"fit_B",18.8992242120078
"34",8,"fit_O",0
"35",8,"fit_Y",18.938679889859
"36",8,"fit_total",18.909252
"37",9,"fit_B",21.0332102998844
"38",9,"fit_O",0
"39",9,"fit_Y",19.402599364592
"40",9,"fit_total",20.817282
"41",10,"fit_B",20.4274717604426
"42",10,"fit_O",0
"43",10,"fit_Y",18.984555364921
"44",10,"fit_total",20.216803
"45",11,"fit_B",21.7319034023501
"46",11,"fit_O",0
"47",11,"fit_Y",19.1818307847035
"48",11,"fit_total",21.392586
"49",12,"fit_B",20.5159721797399
"50",12,"fit_O",0
"51",12,"fit_Y",18.7391768722212
"52",12,"fit_total",20.261454
"53",13,"fit_B",21.4970816263037
"54",13,"fit_O",0
"55",13,"fit_Y",19.0588433254857
"56",13,"fit_total",21.17103
"57",14,"fit_B",20.4470385463137
"58",14,"fit_O",0
"59",14,"fit_Y",18.751570831994
"60",14,"fit_total",20.207934
"61",15,"fit_B",21.3892863384357
"62",15,"fit_O",0
"63",15,"fit_Y",19.1186475988466
"64",15,"fit_total",21.087069
"65",16,"fit_B",20.5086381032568
"66",16,"fit_O",0
"67",16,"fit_Y",18.6876843543515
"68",16,"fit_total",20.250269
"69",17,"fit_B",21.4093045655625
"70",17,"fit_O",0
"71",17,"fit_Y",19.0845193272215
"72",17,"fit_total",21.099403
"73",18,"fit_B",20.4968937178194
"74",18,"fit_O",0
"75",18,"fit_Y",18.6977379493714
"76",18,"fit_total",20.24022
"77",19,"fit_B",21.5024627543444
"78",19,"fit_O",0
"79",19,"fit_Y",19.0250426132983
"80",19,"fit_total",21.180205
"81",20,"fit_B",20.2703086439307
"82",20,"fit_O",0
"83",20,"fit_Y",18.6588820707381
