Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,31.17721518987342,42.39049288513095,44.83408071748879,42.3564,1
2,0.0,48.166043100868,48.871308016877634,48.40005,1
3,0.0,47.627376425855516,38.0322910578609,41.0605,1
4,0.0,38.655799588194924,23.560400327753715,25.7598,1
5,0.0,24.68327067669173,17.694606087735004,18.4382,1
6,0.0,19.439565217391305,16.769322033898305,17.0764,1
7,0.0,19.095753205128204,18.214408135283364,18.3244,1
8,0.0,19.50875211744777,19.33904484141451,19.3691,1
9,0.0,19.357085020242916,24.135196805476326,23.5451,1
10,0.0,17.95020266357846,19.503082315967607,19.2349,1
11,0.0,19.09323503902862,23.539109302588447,23.0265,1
12,0.0,17.72457337883959,18.464499121265376,18.3561,1
13,0.0,19.2079536039768,21.22358694416013,20.9803,1
14,0.0,17.908295528191832,18.957017855031335,18.7952,1
15,0.0,19.655201342281877,21.914396003633062,21.6451,1
16,0.0,18.509673852957434,18.788060065926015,18.7377,1
17,0.0,19.628301886792453,24.212192393736018,23.7263,1
18,0.0,17.56740914419695,17.778273450687244,17.7423,1
19,0.0,20.24756852343059,23.398917578080955,23.0425,1
20,0.0,17.68362068965517,18.4568401937046,18.3223,1
21,0.0,19.23048172757475,23.730275125056846,23.1885,1
22,0.0,17.838010982306283,19.117270661404138,18.9076,1
23,0.0,19.599080267558527,22.86841208541572,22.4774,1
24,0.0,18.001794258373206,18.853506243996158,18.7111,1
25,0.0,19.942206654991242,23.00508015353353,22.6553,1
26,0.0,17.915621436716076,18.460708222168325,18.3651,1
27,0.0,20.13783783783784,23.679302587176604,23.2862,1
28,0.0,18.939479060265576,17.96362845063417,18.1547,1
29,0.0,19.910085632730734,25.201977874622862,24.6458,1
30,0.0,17.56962457337884,17.434153485647336,17.454,1
31,0.0,20.105550883095038,21.046475995914196,20.9346,1
32,0.0,18.60678073510773,18.60882213251009,18.6085,1
33,0.0,20.1692242114237,22.08355047014841,21.859,1
34,0.0,18.34577723378213,18.558570404016255,18.5238,1
35,0.0,19.239471511147812,22.79349186483104,22.3631,1
36,0.0,18.138993710691825,19.164803804994055,19.0017,1
37,0.0,19.49512012012012,22.73032994923858,22.2994,1
38,0.0,18.31640625,20.323236564299425,19.9893,1
39,0.0,19.635499207606973,23.14854657816434,22.7052,1
40,0.0,18.872828784119108,19.63197424892704,19.5096,1
41,0.0,19.41913214990138,22.79555372095766,22.282,1
42,0.0,18.32330827067669,21.94799109757526,21.4177,1
43,0.0,18.77139800285307,21.375029076529426,21.01,1
44,0.0,18.386066763425255,20.59812108559499,20.2933,1
45,0.0,18.464098728496634,20.4595982915849,20.1928,1
46,0.0,18.782975958414553,20.179175038411536,19.9643,1
47,0.0,19.112641242937855,21.79840400745573,21.4181,1
48,0.0,19.270075497597805,20.737738499356198,20.5239,1
49,0.0,19.615994712491737,21.32532107929775,21.0667,1
50,0.0,18.89749505603164,21.942532123069668,21.4806,1
51,0.0,18.5,21.84545246014451,21.4169,1
52,0.0,18.759555048488306,19.8539468897781,19.6621,1
53,0.0,19.186776859504132,23.70637087599545,23.1595,1
54,0.0,17.89378238341969,19.12724692526017,18.9368,1
55,0.0,19.72918201915991,22.01104940414208,21.7014,1
56,0.0,18.121419676214195,20.36657136049559,20.006,1
57,0.0,19.2924126172208,22.465616857369433,22.0934,1
58,0.0,17.884955752212388,18.763877182420227,18.6149,1
59,0.0,19.780296425457717,23.34948604992658,22.9401,1
60,0.0,18.444124423963135,18.361931268151018,18.3762,1
61,0.0,20.0,23.371797778281568,22.9746,1
62,0.0,18.54163726182075,18.548584411045088,18.5476,1
63,0.0,19.50720789074355,20.692985487214926,20.5367,1
64,0.0,18.70547031354236,19.87572050347018,19.7003,1
65,0.0,19.080795262267344,21.558119755046494,21.2653,1
66,0.0,18.648328267477204,18.69317773788151,18.6858,1
67,0.0,19.33457249070632,22.84679376083189,22.3744,1
68,0.0,17.92406380027739,20.12006309885487,19.8034,1
69,0.0,19.283935742971888,21.031125071387777,20.8136,1
70,0.0,18.63625154130703,19.498925757937457,19.359,1
71,0.0,19.007068452380953,22.694142791127543,22.1986,1
72,0.0,18.838709677419356,20.34913335691546,20.1197,1
73,0.0,18.683951551854655,21.903041825095055,21.4778,1
74,0.0,18.685494223363285,20.18230277185501,19.9491,1
75,0.0,19.464338781575037,22.236191356598106,21.8631,1
76,0.0,18.560462359217546,20.37597738481896,20.0697,1
77,0.0,19.427380952380954,23.123054919908466,22.6574,1
78,0.0,18.437306021104902,19.549469543449757,19.3703,1
79,0.0,19.059315589353613,22.514795624640183,22.0604,1
80,0.0,18.46339113680154,19.982529906431363,19.746,1
81,0.0,18.745329000812347,22.06574295814802,21.657,1
82,0.0,17.980505415162455,19.202669762042948,19.0334,1
83,0.0,18.740976645435243,20.57097938744614,20.3124,1
84,0.0,18.97789685197589,20.726343011637475,20.4653,1
85,0.0,18.729720028715004,21.601196700360173,21.2012,1
86,0.0,18.290409121395037,20.5510635797391,20.214,1
87,0.0,18.600840336134453,21.364585698070375,21.0357,1
88,0.0,18.08597437626433,18.77357050604673,18.6716,1
89,0.0,19.30743243243243,21.270530852994554,21.0381,1
90,0.0,18.871046228710462,18.702848252752514,18.7305,1
91,0.0,19.63566487317448,22.746062765835152,22.3414,1
92,0.0,18.16509751176866,19.845236696816634,19.5954,1
93,0.0,19.017831669044224,21.641079320772274,21.2733,1
94,0.0,18.799165673420738,20.91780821917808,20.5623,1
95,0.0,19.25,23.10861211573237,22.6641,1
96,0.0,18.05584930601454,18.416578296217743,18.362,1
97,0.0,19.026173979984602,21.67475002873233,21.3307,1
98,0.0,18.713075880758808,19.779504927264195,19.6221,1
99,0.0,19.27597891566265,21.459813191881917,21.1698,1
100,0.0,18.179158448389217,20.106675315485315,19.8135,1
101,0.0,19.360689655172415,21.948304093567252,21.5731,1
102,0.0,18.716477651767846,21.231031643336078,20.8541,1
103,0.0,18.753429602888087,21.728322692977365,21.3163,1
104,0.0,18.679640718562876,20.735494880546074,20.4265,1
105,0.0,18.785056657223794,21.74283884489986,21.3252,1
106,0.0,18.80712451861361,20.896647713811895,20.5711,1
107,0.0,19.020446096654275,22.28636626227614,21.8471,1
