"","Generation","strategy","freq_media"
"1",0,"B",0.33288
"2",0,"O",0.3342
"3",0,"Y",0.33292
"4",1,"B",0.019774
"5",1,"O",0.005958
"6",1,"Y",0.974268
"7",2,"B",0.364173
"8",2,"O",0
"9",2,"Y",0.635827
"10",3,"B",0.758461
"11",3,"O",0
"12",3,"Y",0.241539
"13",4,"B",0.888263
"14",4,"O",0
"15",4,"Y",0.111737
"16",5,"B",0.906184
"17",5,"O",0
"18",5,"Y",0.093816
"19",6,"B",0.878357
"20",6,"O",0
"21",6,"Y",0.121643
"22",7,"B",0.877841
"23",7,"O",0
"24",7,"Y",0.122159
"25",8,"B",0.85547
"26",8,"O",0
"27",8,"Y",0.14453
"28",9,"B",0.863348
"29",9,"O",0
"30",9,"Y",0.136652
"31",10,"B",0.848489
"32",10,"O",0
"33",10,"Y",0.151511
"34",11,"B",0.862394
"35",11,"O",0
"36",11,"Y",0.137606
"37",12,"B",0.850915
"38",12,"O",0
"39",12,"Y",0.149085
"40",13,"B",0.862969
"41",13,"O",0
"42",13,"Y",0.137031
"43",14,"B",0.852043
"44",14,"O",0
"45",14,"Y",0.147957
"46",15,"B",0.862303
"47",15,"O",0
"48",15,"Y",0.137697
"49",16,"B",0.852147
"50",16,"O",0
"51",16,"Y",0.147853
"52",17,"B",0.862503
"53",17,"O",0
"54",17,"Y",0.137497
"55",18,"B",0.850613
"56",18,"O",0
"57",18,"Y",0.149387
"58",19,"B",0.864963
"59",19,"O",0
"60",19,"Y",0.135037
"61",20,"B",0.85247
"62",20,"O",0
"63",20,"Y",0.14753
"64",21,"B",0.862573
"65",21,"O",0
"66",21,"Y",0.137427
"67",22,"B",0.853624
"68",22,"O",0
"69",22,"Y",0.146376
"70",23,"B",0.862591
"71",23,"O",0
"72",23,"Y",0.137409
"73",24,"B",0.854273
"74",24,"O",0
"75",24,"Y",0.145727
"76",25,"B",0.864266
"77",25,"O",0
"78",25,"Y",0.135734
"79",26,"B",0.852602
"80",26,"O",0
"81",26,"Y",0.147398
"82",27,"B",0.862026
"83",27,"O",0
"84",27,"Y",0.137974
"85",28,"B",0.85472
"86",28,"O",0
"87",28,"Y",0.14528
"88",29,"B",0.860759
"89",29,"O",0
"90",29,"Y",0.139241
"91",30,"B",0.856257
"92",30,"O",0
"93",30,"Y",0.143743
"94",31,"B",0.858831
"95",31,"O",0
"96",31,"Y",0.141169
"97",32,"B",0.85457
"98",32,"O",0
"99",32,"Y",0.14543
"100",33,"B",0.862213
"101",33,"O",0
"102",33,"Y",0.137787
"103",34,"B",0.85547
"104",34,"O",0
"105",34,"Y",0.14453
"106",35,"B",0.861355
"107",35,"O",0
"108",35,"Y",0.138645
"109",36,"B",0.856963
"110",36,"O",0
"111",36,"Y",0.143037
"112",37,"B",0.86132
"113",37,"O",0
"114",37,"Y",0.13868
"115",38,"B",0.855068
"116",38,"O",0
"117",38,"Y",0.144932
"118",39,"B",0.862304
"119",39,"O",0
"120",39,"Y",0.137696
"121",40,"B",0.854002
"122",40,"O",0
"123",40,"Y",0.145998
"124",41,"B",0.8614
"125",41,"O",0
"126",41,"Y",0.1386
"127",42,"B",0.854771
"128",42,"O",0
"129",42,"Y",0.145229
"130",43,"B",0.86133
"131",43,"O",0
"132",43,"Y",0.13867
"133",44,"B",0.855115
"134",44,"O",0
"135",44,"Y",0.144885
"136",45,"B",0.860713
"137",45,"O",0
"138",45,"Y",0.139287
"139",46,"B",0.853623
"140",46,"O",0
"141",46,"Y",0.146377
"142",47,"B",0.861796
"143",47,"O",0
"144",47,"Y",0.138204
"145",48,"B",0.856278
"146",48,"O",0
"147",48,"Y",0.143722
"148",49,"B",0.85967
"149",49,"O",0
"150",49,"Y",0.14033
"151",50,"B",0.856915
"152",50,"O",0
"153",50,"Y",0.143085
"154",51,"B",0.858138
"155",51,"O",0
"156",51,"Y",0.141862
"157",52,"B",0.856615
"158",52,"O",0
"159",52,"Y",0.143385
"160",53,"B",0.858925
"161",53,"O",0
"162",53,"Y",0.141075
"163",54,"B",0.857592
"164",54,"O",0
"165",54,"Y",0.142408
"166",55,"B",0.858177
"167",55,"O",0
"168",55,"Y",0.141823
"169",56,"B",0.855227
"170",56,"O",0
"171",56,"Y",0.144773
"172",57,"B",0.858284
"173",57,"O",0
"174",57,"Y",0.141716
"175",58,"B",0.858742
"176",58,"O",0
"177",58,"Y",0.141258
"178",59,"B",0.857291
"179",59,"O",0
"180",59,"Y",0.142709
"181",60,"B",0.858849
"182",60,"O",0
"183",60,"Y",0.141151
"184",61,"B",0.859155
"185",61,"O",0
"186",61,"Y",0.140845
"187",62,"B",0.860099
"188",62,"O",0
"189",62,"Y",0.139901
"190",63,"B",0.854895
"191",63,"O",0
"192",63,"Y",0.145105
"193",64,"B",0.85907
"194",64,"O",0
"195",64,"Y",0.14093
"196",65,"B",0.857761
"197",65,"O",0
"198",65,"Y",0.142239
"199",66,"B",0.858325
"200",66,"O",0
"201",66,"Y",0.141675
"202",67,"B",0.856572
"203",67,"O",0
"204",67,"Y",0.143428
"205",68,"B",0.858219
"206",68,"O",0
"207",68,"Y",0.141781
"208",69,"B",0.85827
"209",69,"O",0
"210",69,"Y",0.14173
"211",70,"B",0.857059
"212",70,"O",0
"213",70,"Y",0.142941
"214",71,"B",0.855688
"215",71,"O",0
"216",71,"Y",0.144312
"217",72,"B",0.857857
"218",72,"O",0
"219",72,"Y",0.142143
"220",73,"B",0.855729
"221",73,"O",0
"222",73,"Y",0.144271
"223",74,"B",0.858446
"224",74,"O",0
"225",74,"Y",0.141554
"226",75,"B",0.855862
"227",75,"O",0
"228",75,"Y",0.144138
"229",76,"B",0.858901
"230",76,"O",0
"231",76,"Y",0.141099
"232",77,"B",0.856513
"233",77,"O",0
"234",77,"Y",0.143487
"235",78,"B",0.858672
"236",78,"O",0
"237",78,"Y",0.141328
"238",79,"B",0.857948
"239",79,"O",0
"240",79,"Y",0.142052
"241",80,"B",0.857043
"242",80,"O",0
"243",80,"Y",0.142957
"244",81,"B",0.858526
"245",81,"O",0
"246",81,"Y",0.141474
"247",82,"B",0.858053
"248",82,"O",0
"249",82,"Y",0.141947
"250",83,"B",0.858089
"251",83,"O",0
"252",83,"Y",0.141911
"253",84,"B",0.859189
"254",84,"O",0
"255",84,"Y",0.140811
"256",85,"B",0.858238
"257",85,"O",0
"258",85,"Y",0.141762
"259",86,"B",0.857709
"260",86,"O",0
"261",86,"Y",0.142291
"262",87,"B",0.858826
"263",87,"O",0
"264",87,"Y",0.141174
"265",88,"B",0.855221
"266",88,"O",0
"267",88,"Y",0.144779
"268",89,"B",0.86023
"269",89,"O",0
"270",89,"Y",0.13977
"271",90,"B",0.857286
"272",90,"O",0
"273",90,"Y",0.142714
"274",91,"B",0.860696
"275",91,"O",0
"276",91,"Y",0.139304
"277",92,"B",0.855426
"278",92,"O",0
"279",92,"Y",0.144574
"280",93,"B",0.859643
"281",93,"O",0
"282",93,"Y",0.140357
"283",94,"B",0.85597
"284",94,"O",0
"285",94,"Y",0.14403
"286",95,"B",0.858208
"287",95,"O",0
"288",95,"Y",0.141792
"289",96,"B",0.856407
"290",96,"O",0
"291",96,"Y",0.143593
"292",97,"B",0.858365
"293",97,"O",0
"294",97,"Y",0.141635
"295",98,"B",0.854057
"296",98,"O",0
"297",98,"Y",0.145943
"298",99,"B",0.859811
"299",99,"O",0
"300",99,"Y",0.140189
"301",100,"B",0.856212
"302",100,"O",0
"303",100,"Y",0.143788
"304",101,"B",0.859671
"305",101,"O",0
"306",101,"Y",0.140329
"307",102,"B",0.85724
"308",102,"O",0
"309",102,"Y",0.14276
"310",103,"B",0.857428
"311",103,"O",0
"312",103,"Y",0.142572
"313",104,"B",0.857762
"314",104,"O",0
"315",104,"Y",0.142238
"316",105,"B",0.860064
"317",105,"O",0
"318",105,"Y",0.139936
"319",106,"B",0.856885
"320",106,"O",0
"321",106,"Y",0.143115
"322",107,"B",0.860845
"323",107,"O",0
"324",107,"Y",0.139155
"325",108,"B",0.857019
"326",108,"O",0
"327",108,"Y",0.142981
"328",109,"B",0.857656
"329",109,"O",0
"330",109,"Y",0.142344
"331",110,"B",0.858977
"332",110,"O",0
"333",110,"Y",0.141023
"334",111,"B",0.860116
"335",111,"O",0
"336",111,"Y",0.139884
"337",112,"B",0.85699
"338",112,"O",0
"339",112,"Y",0.14301
"340",113,"B",0.859205
"341",113,"O",0
"342",113,"Y",0.140795
"343",114,"B",0.856802
"344",114,"O",0
"345",114,"Y",0.143198
"346",115,"B",0.859501
"347",115,"O",0
"348",115,"Y",0.140499
"349",116,"B",0.857482
"350",116,"O",0
"351",116,"Y",0.142518
"352",117,"B",0.858954
"353",117,"O",0
"354",117,"Y",0.141046
"355",118,"B",0.858428
"356",118,"O",0
"357",118,"Y",0.141572
"358",119,"B",0.857813
"359",119,"O",0
"360",119,"Y",0.142187
"361",120,"B",0.858124
"362",120,"O",0
"363",120,"Y",0.141876
"364",121,"B",0.856987
"365",121,"O",0
"366",121,"Y",0.143013
"367",122,"B",0.856322
"368",122,"O",0
"369",122,"Y",0.143678
"370",123,"B",0.858602
"371",123,"O",0
"372",123,"Y",0.141398
"373",124,"B",0.858598
"374",124,"O",0
"375",124,"Y",0.141402
"376",125,"B",0.858016
"377",125,"O",0
"378",125,"Y",0.141984
"379",126,"B",0.859488
"380",126,"O",0
"381",126,"Y",0.140512
"382",127,"B",0.856137
"383",127,"O",0
"384",127,"Y",0.143863
"385",128,"B",0.859126
"386",128,"O",0
"387",128,"Y",0.140874
"388",129,"B",0.858127
"389",129,"O",0
"390",129,"Y",0.141873
"391",130,"B",0.856009
"392",130,"O",0
"393",130,"Y",0.143991
"394",131,"B",0.857797
"395",131,"O",0
"396",131,"Y",0.142203
"397",132,"B",0.855857
"398",132,"O",0
"399",132,"Y",0.144143
"400",133,"B",0.856788
"401",133,"O",0
"402",133,"Y",0.143212
"403",134,"B",0.859893
"404",134,"O",0
"405",134,"Y",0.140107
"406",135,"B",0.857507
"407",135,"O",0
"408",135,"Y",0.142493
"409",136,"B",0.858666
"410",136,"O",0
"411",136,"Y",0.141334
"412",137,"B",0.859192
"413",137,"O",0
"414",137,"Y",0.140808
"415",138,"B",0.859638
"416",138,"O",0
"417",138,"Y",0.140362
"418",139,"B",0.856823
"419",139,"O",0
"420",139,"Y",0.143177
"421",140,"B",0.859243
"422",140,"O",0
"423",140,"Y",0.140757
"424",141,"B",0.857795
"425",141,"O",0
"426",141,"Y",0.142205
"427",142,"B",0.858948
"428",142,"O",0
"429",142,"Y",0.141052
"430",143,"B",0.855568
"431",143,"O",0
"432",143,"Y",0.144432
"433",144,"B",0.858711
"434",144,"O",0
"435",144,"Y",0.141289
"436",145,"B",0.858605
"437",145,"O",0
"438",145,"Y",0.141395
"439",146,"B",0.857965
"440",146,"O",0
"441",146,"Y",0.142035
"442",147,"B",0.857732
"443",147,"O",0
"444",147,"Y",0.142268
"445",148,"B",0.859591
"446",148,"O",0
"447",148,"Y",0.140409
"448",149,"B",0.859233
"449",149,"O",0
"450",149,"Y",0.140767
"451",150,"B",0.858131
"452",150,"O",0
"453",150,"Y",0.141869
"454",151,"B",0.857095
"455",151,"O",0
"456",151,"Y",0.142905
"457",152,"B",0.857167
"458",152,"O",0
"459",152,"Y",0.142833
"460",153,"B",0.857676
"461",153,"O",0
"462",153,"Y",0.142324
"463",154,"B",0.858238
"464",154,"O",0
"465",154,"Y",0.141762
"466",155,"B",0.858736
"467",155,"O",0
"468",155,"Y",0.141264
"469",156,"B",0.855318
"470",156,"O",0
"471",156,"Y",0.144682
"472",157,"B",0.859611
"473",157,"O",0
"474",157,"Y",0.140389
"475",158,"B",0.85624
"476",158,"O",0
"477",158,"Y",0.14376
"478",159,"B",0.859292
"479",159,"O",0
"480",159,"Y",0.140708
"481",160,"B",0.858298
"482",160,"O",0
"483",160,"Y",0.141702
"484",161,"B",0.858092
"485",161,"O",0
"486",161,"Y",0.141908
"487",162,"B",0.857266
"488",162,"O",0
"489",162,"Y",0.142734
"490",163,"B",0.858011
"491",163,"O",0
"492",163,"Y",0.141989
"493",164,"B",0.857826
"494",164,"O",0
"495",164,"Y",0.142174
"496",165,"B",0.858181
"497",165,"O",0
"498",165,"Y",0.141819
"499",166,"B",0.858868
"500",166,"O",0
"501",166,"Y",0.141132
"502",167,"B",0.857861
"503",167,"O",0
"504",167,"Y",0.142139
"505",168,"B",0.860245
"506",168,"O",0
"507",168,"Y",0.139755
"508",169,"B",0.85737
"509",169,"O",0
"510",169,"Y",0.14263
"511",170,"B",0.860057
"512",170,"O",0
"513",170,"Y",0.139943
"514",171,"B",0.857361
"515",171,"O",0
"516",171,"Y",0.142639
"517",172,"B",0.85932
"518",172,"O",0
"519",172,"Y",0.14068
"520",173,"B",0.857639
"521",173,"O",0
"522",173,"Y",0.142361
"523",174,"B",0.859613
"524",174,"O",0
"525",174,"Y",0.140387
"526",175,"B",0.856633
"527",175,"O",0
"528",175,"Y",0.143367
