Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.0079,0.9698,0.0223,1
2,0.0,0.6682,0.3318,1
3,0.0,0.3156,0.6844,1
4,0.0,0.1457,0.8543,1
5,0.0,0.1064,0.8936,1
6,0.0,0.115,0.885,1
7,0.0,0.1248,0.8752,1
8,0.0,0.1771,0.8229,1
9,0.0,0.1235,0.8765,1
10,0.0,0.1727,0.8273,1
11,0.0,0.1153,0.8847,1
12,0.0,0.1465,0.8535,1
13,0.0,0.1207,0.8793,1
14,0.0,0.1543,0.8457,1
15,0.0,0.1192,0.8808,1
16,0.0,0.1809,0.8191,1
17,0.0,0.106,0.894,1
18,0.0,0.1706,0.8294,1
19,0.0,0.1131,0.8869,1
20,0.0,0.174,0.826,1
21,0.0,0.1204,0.8796,1
22,0.0,0.1639,0.8361,1
23,0.0,0.1196,0.8804,1
24,0.0,0.1672,0.8328,1
25,0.0,0.1142,0.8858,1
26,0.0,0.1754,0.8246,1
27,0.0,0.111,0.889,1
28,0.0,0.1958,0.8042,1
29,0.0,0.1051,0.8949,1
30,0.0,0.1465,0.8535,1
31,0.0,0.1189,0.8811,1
32,0.0,0.1578,0.8422,1
33,0.0,0.1173,0.8827,1
34,0.0,0.1634,0.8366,1
35,0.0,0.1211,0.8789,1
36,0.0,0.159,0.841,1
37,0.0,0.1332,0.8668,1
38,0.0,0.1664,0.8336,1
39,0.0,0.1262,0.8738,1
40,0.0,0.1612,0.8388,1
41,0.0,0.1521,0.8479,1
42,0.0,0.1463,0.8537,1
43,0.0,0.1402,0.8598,1
44,0.0,0.1378,0.8622,1
45,0.0,0.1337,0.8663,1
46,0.0,0.1539,0.8461,1
47,0.0,0.1416,0.8584,1
48,0.0,0.1457,0.8543,1
49,0.0,0.1513,0.8487,1
50,0.0,0.1517,0.8483,1
51,0.0,0.1281,0.8719,1
52,0.0,0.1753,0.8247,1
53,0.0,0.121,0.879,1
54,0.0,0.1544,0.8456,1
55,0.0,0.1357,0.8643,1
56,0.0,0.1606,0.8394,1
57,0.0,0.1173,0.8827,1
58,0.0,0.1695,0.8305,1
59,0.0,0.1147,0.8853,1
60,0.0,0.1736,0.8264,1
61,0.0,0.1178,0.8822,1
62,0.0,0.1417,0.8583,1
63,0.0,0.1318,0.8682,1
64,0.0,0.1499,0.8501,1
65,0.0,0.1182,0.8818,1
66,0.0,0.1645,0.8355,1
67,0.0,0.1345,0.8655,1
68,0.0,0.1442,0.8558,1
69,0.0,0.1245,0.8755,1
70,0.0,0.1622,0.8378,1
71,0.0,0.1344,0.8656,1
72,0.0,0.1519,0.8481,1
73,0.0,0.1321,0.8679,1
74,0.0,0.1558,0.8442,1
75,0.0,0.1346,0.8654,1
76,0.0,0.1687,0.8313,1
77,0.0,0.126,0.874,1
78,0.0,0.1611,0.8389,1
79,0.0,0.1315,0.8685,1
80,0.0,0.1557,0.8443,1
81,0.0,0.1231,0.8769,1
82,0.0,0.1385,0.8615,1
83,0.0,0.1413,0.8587,1
84,0.0,0.1493,0.8507,1
85,0.0,0.1393,0.8607,1
86,0.0,0.1491,0.8509,1
87,0.0,0.119,0.881,1
88,0.0,0.1483,0.8517,1
89,0.0,0.1184,0.8816,1
90,0.0,0.1644,0.8356,1
91,0.0,0.1301,0.8699,1
92,0.0,0.1487,0.8513,1
93,0.0,0.1402,0.8598,1
94,0.0,0.1678,0.8322,1
95,0.0,0.1152,0.8848,1
96,0.0,0.1513,0.8487,1
97,0.0,0.1299,0.8701,1
98,0.0,0.1476,0.8524,1
99,0.0,0.1328,0.8672,1
100,0.0,0.1521,0.8479,1
101,0.0,0.145,0.855,1
102,0.0,0.1499,0.8501,1
103,0.0,0.1385,0.8615,1
