"","Generation","strategy","zo","ratio","freq_media","freq_sd"
"1",0,"B",1,0.125,0.33288,0.00424865991944649
"2",0,"B",2,0.25,0.33288,0.00424865991944649
"3",0,"B",3,0.375,0.33288,0.00424865991944649
"4",0,"B",4,0.5,0.33288,0.00424865991944649
"5",0,"B",5,0.625,0.33288,0.00424865991944649
"6",0,"B",6,0.75,0.33288,0.00424865991944649
"7",0,"B",7,0.875,0.33288,0.00424865991944649
"8",0,"B",8,1,0.33288,0.00424865991944649
"9",0,"B",9,1.125,0.33288,0.00424865991944649
"10",0,"B",10,1.25,0.33288,0.00424865991944649
"11",0,"B",11,1.375,0.33288,0.00424865991944649
"12",0,"B",12,1.5,0.33288,0.00424865991944649
"13",0,"B",13,1.625,0.33288,0.00424865991944649
"14",0,"B",14,1.75,0.33288,0.00424865991944649
"15",0,"B",15,1.875,0.33288,0.00424865991944649
"16",0,"B",16,2,0.33288,0.00424865991944649
"17",0,"B",17,2.125,0.33288,0.00424865991944649
"18",0,"B",18,2.25,0.33288,0.00424865991944649
"19",0,"B",19,2.375,0.33288,0.00424865991944649
"20",0,"B",20,2.5,0.33288,0.00424865991944649
"21",0,"B",21,2.625,0.33288,0.00424865991944649
"22",0,"B",22,2.75,0.33288,0.00424865991944649
"23",0,"B",23,2.875,0.33288,0.00424865991944649
"24",0,"B",24,3,0.33288,0.00424865991944649
"25",0,"B",25,3.125,0.33288,0.00424865991944649
"26",0,"B",26,3.25,0.33288,0.00424865991944649
"27",0,"B",27,3.375,0.33288,0.00424865991944649
"28",0,"B",28,3.5,0.33288,0.00424865991944649
"29",0,"B",29,3.625,0.33288,0.00424865991944649
"30",0,"B",30,3.75,0.33288,0.00424865991944649
"31",0,"B",31,3.875,0.33288,0.00424865991944649
"32",0,"B",32,4,0.33288,0.00424865991944649
"33",0,"O",1,0.125,0.3342,0.00396000204060758
"34",0,"O",2,0.25,0.3342,0.00396000204060758
"35",0,"O",3,0.375,0.3342,0.00396000204060758
"36",0,"O",4,0.5,0.3342,0.00396000204060758
"37",0,"O",5,0.625,0.3342,0.00396000204060758
"38",0,"O",6,0.75,0.3342,0.00396000204060758
"39",0,"O",7,0.875,0.3342,0.00396000204060758
"40",0,"O",8,1,0.3342,0.00396000204060758
"41",0,"O",9,1.125,0.3342,0.00396000204060758
"42",0,"O",10,1.25,0.3342,0.00396000204060758
"43",0,"O",11,1.375,0.3342,0.00396000204060758
"44",0,"O",12,1.5,0.3342,0.00396000204060758
"45",0,"O",13,1.625,0.3342,0.00396000204060758
"46",0,"O",14,1.75,0.3342,0.00396000204060758
"47",0,"O",15,1.875,0.3342,0.00396000204060758
"48",0,"O",16,2,0.3342,0.00396000204060758
"49",0,"O",17,2.125,0.3342,0.00396000204060758
"50",0,"O",18,2.25,0.3342,0.00396000204060758
"51",0,"O",19,2.375,0.3342,0.00396000204060758
"52",0,"O",20,2.5,0.3342,0.00396000204060758
"53",0,"O",21,2.625,0.3342,0.00396000204060758
"54",0,"O",22,2.75,0.3342,0.00396000204060758
"55",0,"O",23,2.875,0.3342,0.00396000204060758
"56",0,"O",24,3,0.3342,0.00396000204060758
"57",0,"O",25,3.125,0.3342,0.00396000204060758
"58",0,"O",26,3.25,0.3342,0.00396000204060758
"59",0,"O",27,3.375,0.3342,0.00396000204060758
"60",0,"O",28,3.5,0.3342,0.00396000204060758
"61",0,"O",29,3.625,0.3342,0.00396000204060758
"62",0,"O",30,3.75,0.3342,0.00396000204060758
"63",0,"O",31,3.875,0.3342,0.00396000204060758
"64",0,"O",32,4,0.3342,0.00396000204060758
"65",0,"Y",1,0.125,0.33292,0.00431204561359657
"66",0,"Y",2,0.25,0.33292,0.00431204561359657
"67",0,"Y",3,0.375,0.33292,0.00431204561359657
"68",0,"Y",4,0.5,0.33292,0.00431204561359657
"69",0,"Y",5,0.625,0.33292,0.00431204561359657
"70",0,"Y",6,0.75,0.33292,0.00431204561359657
"71",0,"Y",7,0.875,0.33292,0.00431204561359657
"72",0,"Y",8,1,0.33292,0.00431204561359657
"73",0,"Y",9,1.125,0.33292,0.00431204561359657
"74",0,"Y",10,1.25,0.33292,0.00431204561359657
"75",0,"Y",11,1.375,0.33292,0.00431204561359657
"76",0,"Y",12,1.5,0.33292,0.00431204561359657
"77",0,"Y",13,1.625,0.33292,0.00431204561359657
"78",0,"Y",14,1.75,0.33292,0.00431204561359657
"79",0,"Y",15,1.875,0.33292,0.00431204561359657
"80",0,"Y",16,2,0.33292,0.00431204561359657
"81",0,"Y",17,2.125,0.33292,0.00431204561359657
"82",0,"Y",18,2.25,0.33292,0.00431204561359657
"83",0,"Y",19,2.375,0.33292,0.00431204561359657
"84",0,"Y",20,2.5,0.33292,0.00431204561359657
"85",0,"Y",21,2.625,0.33292,0.00431204561359657
"86",0,"Y",22,2.75,0.33292,0.00431204561359657
"87",0,"Y",23,2.875,0.33292,0.00431204561359657
"88",0,"Y",24,3,0.33292,0.00431204561359657
"89",0,"Y",25,3.125,0.33292,0.00431204561359657
"90",0,"Y",26,3.25,0.33292,0.00431204561359657
"91",0,"Y",27,3.375,0.33292,0.00431204561359657
"92",0,"Y",28,3.5,0.33292,0.00431204561359657
"93",0,"Y",29,3.625,0.33292,0.00431204561359657
"94",0,"Y",30,3.75,0.33292,0.00431204561359657
"95",0,"Y",31,3.875,0.33292,0.00431204561359657
"96",0,"Y",32,4,0.33292,0.00431204561359657
"97",1,"B",1,0.125,0.3684,0.00971694344426219
"98",1,"B",2,0.25,0.361183,0.0101629556565385
"99",1,"B",3,0.375,0.356657,0.0103109851688146
"100",1,"B",4,0.5,0.348062,0.0105916183748273
"101",1,"B",5,0.625,0.320801,0.0110413775948438
"102",1,"B",6,0.75,0.290439,0.011259446269823
"103",1,"B",7,0.875,0.27459,0.0112994815291801
"104",1,"B",8,1,0.257237,0.0110153305016511
"105",1,"B",9,1.125,0.173841,0.00940458833858143
"106",1,"B",10,1.25,0.117463,0.00727566380740506
"107",1,"B",11,1.375,0.089665,0.00619853966183923
"108",1,"B",12,1.5,0.070051,0.00523398943966698
"109",1,"B",13,1.625,0.051313,0.00413938108387906
"110",1,"B",14,1.75,0.039914,0.00348781486395888
"111",1,"B",15,1.875,0.032539,0.003088064183925
"112",1,"B",16,2,0.027344,0.00270373180189265
"113",1,"B",17,2.125,0.02336,0.00253791451806599
"114",1,"B",18,2.25,0.020045,0.00240392671193688
"115",1,"B",19,2.375,0.017398,0.00218063006370807
"116",1,"B",20,2.5,0.015242,0.0019692679253002
"117",1,"B",21,2.625,0.013185,0.00180880981014946
"118",1,"B",22,2.75,0.01143,0.00160595482784881
"119",1,"B",23,2.875,0.01008,0.00151023444564348
"120",1,"B",24,3,0.008934,0.00151345614239379
"121",1,"B",25,3.125,0.008026,0.00135016796560781
"122",1,"B",26,3.25,0.007243,0.00120665285443292
"123",1,"B",27,3.375,0.006634,0.00113058668956709
"124",1,"B",28,3.5,0.006197,0.00102862613090069
"125",1,"B",29,3.625,0.005742,0.000955915130842554
"126",1,"B",30,3.75,0.005395,0.000868340458296832
"127",1,"B",31,3.875,0.005114,0.000791114799673616
"128",1,"B",32,4,0.004875,0.00078577954602388
"129",1,"O",1,0.125,0.181719,0.005314772532358
"130",1,"O",2,0.25,0.135798,0.00527823776836493
"131",1,"O",3,0.375,0.100397,0.00504872131026133
"132",1,"O",4,0.5,0.083847,0.00459579199272596
"133",1,"O",5,0.625,0.132917,0.00705243070067894
"134",1,"O",6,0.75,0.228842,0.0104122905231939
"135",1,"O",7,0.875,0.289963,0.0121182528243618
"136",1,"O",8,1,0.357539,0.0140721222725119
"137",1,"O",9,1.125,0.471322,0.0162566696801931
"138",1,"O",10,1.25,0.572399,0.0165838517963723
