Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.6436,0.3029,0.0535,1
2,0.1983,0.7956,0.0061,1
3,0.0168,0.9722,0.011,1
4,0.0052,0.9698,0.025,1
5,0.0074,0.948,0.0446,1
6,0.0105,0.9205,0.069,1
7,0.0138,0.889,0.0972,1
8,0.0164,0.8537,0.1299,1
9,0.0206,0.8131,0.1663,1
10,0.0246,0.7686,0.2068,1
11,0.0281,0.7239,0.248,1
12,0.0327,0.6765,0.2908,1
13,0.0372,0.6271,0.3357,1
14,0.0391,0.5777,0.3832,1
15,0.0426,0.5264,0.431,1
16,0.0427,0.4781,0.4792,1
17,0.0461,0.4405,0.5134,1
18,0.0481,0.4104,0.5415,1
19,0.0508,0.383,0.5662,1
20,0.0528,0.3584,0.5888,1
21,0.0567,0.335,0.6083,1
22,0.0589,0.3156,0.6255,1
23,0.0663,0.2945,0.6392,1
24,0.0729,0.2767,0.6504,1
25,0.0774,0.2653,0.6573,1
26,0.0832,0.2559,0.6609,1
27,0.0895,0.2508,0.6597,1
28,0.0951,0.2469,0.658,1
29,0.1043,0.2445,0.6512,1
30,0.1092,0.2497,0.6411,1
31,0.111,0.262,0.627,1
32,0.1161,0.2725,0.6114,1
33,0.1188,0.2867,0.5945,1
34,0.1199,0.3029,0.5772,1
35,0.1256,0.3165,0.5579,1
36,0.1311,0.3307,0.5382,1
37,0.1381,0.343,0.5189,1
38,0.1426,0.358,0.4994,1
39,0.1533,0.3682,0.4785,1
40,0.1598,0.3814,0.4588,1
41,0.1678,0.3936,0.4386,1
42,0.1778,0.4024,0.4198,1
43,0.1659,0.4296,0.4045,1
44,0.1662,0.447,0.3868,1
45,0.1759,0.4563,0.3678,1
46,0.1856,0.4652,0.3492,1
47,0.1933,0.4752,0.3315,1
48,0.184,0.4967,0.3193,1
49,0.1865,0.5049,0.3086,1
50,0.1959,0.5067,0.2974,1
51,0.191,0.5256,0.2834,1
52,0.1923,0.5333,0.2744,1
