Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,18.73490532332976,17.521347565043364,11.509615384615385,18.47785,1
2,23.582857142857144,24.154700854700856,0.0,24.08465,1
3,11.134969325153374,11.763494967978042,0.0,11.75325,1
4,9.2,8.546968139773895,0.0,8.5646,1
5,9.885714285714286,8.885800301053688,0.0,8.8893,1
6,9.277777777777779,8.114826752618855,0.0,8.1232,1
7,9.210526315789474,8.24306181745316,0.0,8.2449,1
8,9.666666666666666,8.069704556835253,0.0,8.0721,1
9,9.193548387096774,8.051459524526031,0.0,8.055,1
10,9.0,8.106506506506507,0.0,8.1074,1
11,11.0,8.03490698139628,0.0,8.0355,1
12,9.0,8.006806806806807,0.0,8.0078,1
13,11.0,8.03490698139628,0.0,8.0355,1
14,9.0,8.006806806806807,0.0,8.0078,1
15,11.0,8.03490698139628,0.0,8.0355,1
16,9.0,8.006806806806807,0.0,8.0078,1
17,11.0,8.03490698139628,0.0,8.0355,1
18,9.0,8.006806806806807,0.0,8.0078,1
19,11.0,8.03490698139628,0.0,8.0355,1
20,9.0,8.006806806806807,0.0,8.0078,1
21,11.0,8.03490698139628,0.0,8.0355,1
22,9.0,8.006806806806807,0.0,8.0078,1
23,11.0,8.03490698139628,0.0,8.0355,1
24,9.0,8.006806806806807,0.0,8.0078,1
25,11.0,8.03490698139628,0.0,8.0355,1
26,9.0,8.006806806806807,0.0,8.0078,1
27,11.0,8.03490698139628,0.0,8.0355,1
28,9.0,8.006806806806807,0.0,8.0078,1
29,11.0,8.03490698139628,0.0,8.0355,1
30,9.0,8.006806806806807,0.0,8.0078,1
31,11.0,8.03490698139628,0.0,8.0355,1
32,9.0,8.006806806806807,0.0,8.0078,1
33,11.0,8.03490698139628,0.0,8.0355,1
34,9.0,8.006806806806807,0.0,8.0078,1
35,11.0,8.03490698139628,0.0,8.0355,1
36,9.0,8.006806806806807,0.0,8.0078,1
37,11.0,8.03490698139628,0.0,8.0355,1
38,9.0,8.006806806806807,0.0,8.0078,1
39,11.0,8.03490698139628,0.0,8.0355,1
40,9.0,8.006806806806807,0.0,8.0078,1
41,11.0,8.03490698139628,0.0,8.0355,1
42,9.0,8.006806806806807,0.0,8.0078,1
43,11.0,8.03490698139628,0.0,8.0355,1
44,9.0,8.006806806806807,0.0,8.0078,1
45,11.0,8.03490698139628,0.0,8.0355,1
46,9.0,8.006806806806807,0.0,8.0078,1
47,11.0,8.03490698139628,0.0,8.0355,1
48,9.0,8.006806806806807,0.0,8.0078,1
49,11.0,8.03490698139628,0.0,8.0355,1
50,9.0,8.006806806806807,0.0,8.0078,1
51,11.0,8.03490698139628,0.0,8.0355,1
52,9.0,8.006806806806807,0.0,8.0078,1
53,11.0,8.03490698139628,0.0,8.0355,1
54,9.0,8.006806806806807,0.0,8.0078,1
55,11.0,8.03490698139628,0.0,8.0355,1
56,9.0,8.006806806806807,0.0,8.0078,1
57,11.0,8.03490698139628,0.0,8.0355,1
58,9.0,8.006806806806807,0.0,8.0078,1
59,11.0,8.03490698139628,0.0,8.0355,1
60,9.0,8.006806806806807,0.0,8.0078,1
61,11.0,8.03490698139628,0.0,8.0355,1
62,9.0,8.006806806806807,0.0,8.0078,1
63,11.0,8.03490698139628,0.0,8.0355,1
64,9.0,8.006806806806807,0.0,8.0078,1
65,11.0,8.03490698139628,0.0,8.0355,1
66,9.0,8.006806806806807,0.0,8.0078,1
67,11.0,8.03490698139628,0.0,8.0355,1
68,9.0,8.006806806806807,0.0,8.0078,1
69,11.0,8.03490698139628,0.0,8.0355,1
70,9.0,8.006806806806807,0.0,8.0078,1
71,11.0,8.03490698139628,0.0,8.0355,1
72,9.0,8.006806806806807,0.0,8.0078,1
73,11.0,8.03490698139628,0.0,8.0355,1
74,9.0,8.006806806806807,0.0,8.0078,1
75,11.0,8.03490698139628,0.0,8.0355,1
76,9.0,8.006806806806807,0.0,8.0078,1
77,11.0,8.03490698139628,0.0,8.0355,1
78,9.0,8.006806806806807,0.0,8.0078,1
79,11.0,8.03490698139628,0.0,8.0355,1
80,9.0,8.006806806806807,0.0,8.0078,1
81,11.0,8.03490698139628,0.0,8.0355,1
82,9.0,8.006806806806807,0.0,8.0078,1
83,11.0,8.03490698139628,0.0,8.0355,1
84,9.0,8.006806806806807,0.0,8.0078,1
85,11.0,8.03490698139628,0.0,8.0355,1
86,9.0,8.006806806806807,0.0,8.0078,1
87,11.0,8.03490698139628,0.0,8.0355,1
88,9.0,8.006806806806807,0.0,8.0078,1
89,11.0,8.03490698139628,0.0,8.0355,1
90,9.0,8.006806806806807,0.0,8.0078,1
91,11.0,8.03490698139628,0.0,8.0355,1
92,9.0,8.006806806806807,0.0,8.0078,1
93,11.0,8.03490698139628,0.0,8.0355,1
94,9.0,8.006806806806807,0.0,8.0078,1
95,11.0,8.03490698139628,0.0,8.0355,1
96,9.0,8.006806806806807,0.0,8.0078,1
97,11.0,8.03490698139628,0.0,8.0355,1
98,9.0,8.006806806806807,0.0,8.0078,1
99,11.0,8.03490698139628,0.0,8.0355,1
