Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0,0.0,0.0,1
1,29.021931986200098,0,27.24526408229833,27.60575,1
2,42.798373368640064,0,24.603437301082113,34.2231,1
3,46.99106124001521,0,25.183388547089447,42.3831,1
4,48.06806534272902,0,25.727917981072554,46.6517,1
5,48.25248377939984,0,26.27573529411765,47.9536,1
6,48.07220722072207,0,36.0,48.071,1
7,48.0024,0,0.0,48.0024,1
8,48.0,0,0.0,48.0,1
9,48.0,0,0.0,48.0,1
10,48.0,0,0.0,48.0,1
11,48.0,0,0.0,48.0,1
12,48.0,0,0.0,48.0,1
13,48.0,0,0.0,48.0,1
14,48.0,0,0.0,48.0,1
15,48.0,0,0.0,48.0,1
16,48.0,0,0.0,48.0,1
17,48.0,0,0.0,48.0,1
18,48.0,0,0.0,48.0,1
19,48.0,0,0.0,48.0,1
20,48.0,0,0.0,48.0,1
21,48.0,0,0.0,48.0,1
22,48.0,0,0.0,48.0,1
23,48.0,0,0.0,48.0,1
24,48.0,0,0.0,48.0,1
25,48.0,0,0.0,48.0,1
26,48.0,0,0.0,48.0,1
27,48.0,0,0.0,48.0,1
28,48.0,0,0.0,48.0,1
29,48.0,0,0.0,48.0,1
30,48.0,0,0.0,48.0,1
31,48.0,0,0.0,48.0,1
32,48.0,0,0.0,48.0,1
33,48.0,0,0.0,48.0,1
34,48.0,0,0.0,48.0,1
35,48.0,0,0.0,48.0,1
36,48.0,0,0.0,48.0,1
37,48.0,0,0.0,48.0,1
38,48.0,0,0.0,48.0,1
39,48.0,0,0.0,48.0,1
40,48.0,0,0.0,48.0,1
41,48.0,0,0.0,48.0,1
42,48.0,0,0.0,48.0,1
43,48.0,0,0.0,48.0,1
44,48.0,0,0.0,48.0,1
45,48.0,0,0.0,48.0,1
46,48.0,0,0.0,48.0,1
47,48.0,0,0.0,48.0,1
48,48.0,0,0.0,48.0,1
49,48.0,0,0.0,48.0,1
50,48.0,0,0.0,48.0,1
51,48.0,0,0.0,48.0,1
52,48.0,0,0.0,48.0,1
53,48.0,0,0.0,48.0,1
54,48.0,0,0.0,48.0,1
55,48.0,0,0.0,48.0,1
56,48.0,0,0.0,48.0,1
57,48.0,0,0.0,48.0,1
58,48.0,0,0.0,48.0,1
59,48.0,0,0.0,48.0,1
60,48.0,0,0.0,48.0,1
61,48.0,0,0.0,48.0,1
62,48.0,0,0.0,48.0,1
63,48.0,0,0.0,48.0,1
64,48.0,0,0.0,48.0,1
65,48.0,0,0.0,48.0,1
66,48.0,0,0.0,48.0,1
67,48.0,0,0.0,48.0,1
68,48.0,0,0.0,48.0,1
69,48.0,0,0.0,48.0,1
70,48.0,0,0.0,48.0,1
71,48.0,0,0.0,48.0,1
72,48.0,0,0.0,48.0,1
73,48.0,0,0.0,48.0,1
74,48.0,0,0.0,48.0,1
75,48.0,0,0.0,48.0,1
76,48.0,0,0.0,48.0,1
77,48.0,0,0.0,48.0,1
78,48.0,0,0.0,48.0,1
79,48.0,0,0.0,48.0,1
80,48.0,0,0.0,48.0,1
81,48.0,0,0.0,48.0,1
82,48.0,0,0.0,48.0,1
83,48.0,0,0.0,48.0,1
84,48.0,0,0.0,48.0,1
85,48.0,0,0.0,48.0,1
86,48.0,0,0.0,48.0,1
87,48.0,0,0.0,48.0,1
88,48.0,0,0.0,48.0,1
89,48.0,0,0.0,48.0,1
90,48.0,0,0.0,48.0,1
91,48.0,0,0.0,48.0,1
92,48.0,0,0.0,48.0,1
93,48.0,0,0.0,48.0,1
94,48.0,0,0.0,48.0,1
95,48.0,0,0.0,48.0,1
96,48.0,0,0.0,48.0,1
97,48.0,0,0.0,48.0,1
98,48.0,0,0.0,48.0,1
99,48.0,0,0.0,48.0,1
100,48.0,0,0.0,48.0,1
101,48.0,0,0.0,48.0,1
102,48.0,0,0.0,48.0,1
103,48.0,0,0.0,48.0,1
104,48.0,0,0.0,48.0,1
105,48.0,0,0.0,48.0,1
106,48.0,0,0.0,48.0,1
107,48.0,0,0.0,48.0,1
108,48.0,0,0.0,48.0,1
109,48.0,0,0.0,48.0,1
110,48.0,0,0.0,48.0,1
111,48.0,0,0.0,48.0,1
112,48.0,0,0.0,48.0,1
113,48.0,0,0.0,48.0,1
114,48.0,0,0.0,48.0,1
115,48.0,0,0.0,48.0,1
116,48.0,0,0.0,48.0,1
117,48.0,0,0.0,48.0,1
