"","Generation","strategy","freq_media"
"1",0,"B",0.494483
"2",0,"O",0.009867
"3",0,"Y",0.49565
"4",1,"B",0.780727
"5",1,"O",0.219273
"6",1,"Y",0
"7",2,"B",0.447083
"8",2,"O",0.552917
"9",2,"Y",0
"10",3,"B",0.185052
"11",3,"O",0.814948
"12",3,"Y",0
"13",4,"B",0.055462
"14",4,"O",0.944538
"15",4,"Y",0
"16",5,"B",0.012359
"17",5,"O",0.987641
"18",5,"Y",0
"19",6,"B",0.002202
"20",6,"O",0.997798
"21",6,"Y",0
"22",7,"B",0.000377
"23",7,"O",0.999623
"24",7,"Y",0
"25",8,"B",4.2e-05
"26",8,"O",0.999958
"27",8,"Y",0
"28",9,"B",0
"29",9,"O",1
"30",9,"Y",0
"31",10,"B",0
"32",10,"O",1
"33",10,"Y",0
"34",11,"B",0
"35",11,"O",1
"36",11,"Y",0
"37",12,"B",0
"38",12,"O",1
"39",12,"Y",0
"40",13,"B",0
"41",13,"O",1
"42",13,"Y",0
"43",14,"B",0
"44",14,"O",1
"45",14,"Y",0
"46",15,"B",0
"47",15,"O",1
"48",15,"Y",0
"49",16,"B",0
"50",16,"O",1
"51",16,"Y",0
"52",17,"B",0
"53",17,"O",1
"54",17,"Y",0
"55",18,"B",0
"56",18,"O",1
"57",18,"Y",0
"58",19,"B",0
"59",19,"O",1
"60",19,"Y",0
"61",20,"B",0
"62",20,"O",1
"63",20,"Y",0
"64",21,"B",0
"65",21,"O",1
"66",21,"Y",0
"67",22,"B",0
"68",22,"O",1
"69",22,"Y",0
"70",23,"B",0
"71",23,"O",1
"72",23,"Y",0
"73",24,"B",0
"74",24,"O",1
"75",24,"Y",0
"76",25,"B",0
"77",25,"O",1
"78",25,"Y",0
"79",26,"B",0
"80",26,"O",1
"81",26,"Y",0
"82",27,"B",0
"83",27,"O",1
"84",27,"Y",0
"85",28,"B",0
"86",28,"O",1
"87",28,"Y",0
"88",29,"B",0
"89",29,"O",1
"90",29,"Y",0
"91",30,"B",0
"92",30,"O",1
"93",30,"Y",0
"94",31,"B",0
"95",31,"O",1
"96",31,"Y",0
"97",32,"B",0
"98",32,"O",1
"99",32,"Y",0
"100",33,"B",0
"101",33,"O",1
"102",33,"Y",0
"103",34,"B",0
"104",34,"O",1
"105",34,"Y",0
"106",35,"B",0
"107",35,"O",1
"108",35,"Y",0
"109",36,"B",0
"110",36,"O",1
"111",36,"Y",0
"112",37,"B",0
"113",37,"O",1
"114",37,"Y",0
"115",38,"B",0
"116",38,"O",1
"117",38,"Y",0
"118",39,"B",0
"119",39,"O",1
"120",39,"Y",0
"121",40,"B",0
"122",40,"O",1
"123",40,"Y",0
"124",41,"B",0
"125",41,"O",1
"126",41,"Y",0
"127",42,"B",0
"128",42,"O",1
"129",42,"Y",0
"130",43,"B",0
"131",43,"O",1
"132",43,"Y",0
"133",44,"B",0
"134",44,"O",1
"135",44,"Y",0
"136",45,"B",0
"137",45,"O",1
"138",45,"Y",0
"139",46,"B",0
"140",46,"O",1
"141",46,"Y",0
"142",47,"B",0
"143",47,"O",1
"144",47,"Y",0
"145",48,"B",0
"146",48,"O",1
"147",48,"Y",0
"148",49,"B",0
"149",49,"O",1
"150",49,"Y",0
"151",50,"B",0
"152",50,"O",1
"153",50,"Y",0
"154",51,"B",0
"155",51,"O",1
"156",51,"Y",0
"157",52,"B",0
"158",52,"O",1
"159",52,"Y",0
"160",53,"B",0
"161",53,"O",1
"162",53,"Y",0
"163",54,"B",0
"164",54,"O",1
"165",54,"Y",0
"166",55,"B",0
"167",55,"O",1
"168",55,"Y",0
"169",56,"B",0
"170",56,"O",1
"171",56,"Y",0
"172",57,"B",0
"173",57,"O",1
"174",57,"Y",0
"175",58,"B",0
"176",58,"O",1
"177",58,"Y",0
"178",59,"B",0
"179",59,"O",1
"180",59,"Y",0
"181",60,"B",0
"182",60,"O",1
"183",60,"Y",0
"184",61,"B",0
"185",61,"O",1
"186",61,"Y",0
"187",62,"B",0
"188",62,"O",1
"189",62,"Y",0
"190",63,"B",0
"191",63,"O",1
"192",63,"Y",0
"193",64,"B",0
"194",64,"O",1
"195",64,"Y",0
"196",65,"B",0
"197",65,"O",1
"198",65,"Y",0
"199",66,"B",0
"200",66,"O",1
"201",66,"Y",0
"202",67,"B",0
"203",67,"O",1
"204",67,"Y",0
"205",68,"B",0
"206",68,"O",1
"207",68,"Y",0
"208",69,"B",0
"209",69,"O",1
"210",69,"Y",0
"211",70,"B",0
"212",70,"O",1
"213",70,"Y",0
"214",71,"B",0
"215",71,"O",1
"216",71,"Y",0
"217",72,"B",0
"218",72,"O",1
"219",72,"Y",0
"220",73,"B",0
"221",73,"O",1
"222",73,"Y",0
"223",74,"B",0
"224",74,"O",1
"225",74,"Y",0
"226",75,"B",0
"227",75,"O",1
"228",75,"Y",0
"229",76,"B",0
"230",76,"O",1
"231",76,"Y",0
"232",77,"B",0
"233",77,"O",1
"234",77,"Y",0
"235",78,"B",0
"236",78,"O",1
"237",78,"Y",0
"238",79,"B",0
"239",79,"O",1
"240",79,"Y",0
"241",80,"B",0
"242",80,"O",1
"243",80,"Y",0
"244",81,"B",0
"245",81,"O",1
"246",81,"Y",0
"247",82,"B",0
"248",82,"O",1
"249",82,"Y",0
"250",83,"B",0
"251",83,"O",1
"252",83,"Y",0
"253",84,"B",0
