"","Generation","strategy","freq_media"
"1",0,"B",0.33288
"2",0,"O",0.3342
"3",0,"Y",0.33292
"4",1,"B",2.5e-05
"5",1,"O",0.93629
"6",1,"Y",0.063685
"7",2,"B",0
"8",2,"O",0.660163
"9",2,"Y",0.339837
"10",3,"B",0
"11",3,"O",0.352665
"12",3,"Y",0.647335
"13",4,"B",0
"14",4,"O",0.141942
"15",4,"Y",0.858058
"16",5,"B",0
"17",5,"O",0.043414
"18",5,"Y",0.956586
"19",6,"B",0
"20",6,"O",0.00937
"21",6,"Y",0.99063
"22",7,"B",0
"23",7,"O",0.001084
"24",7,"Y",0.998916
"25",8,"B",0
"26",8,"O",4.8e-05
"27",8,"Y",0.999952
"28",9,"B",0
"29",9,"O",0
"30",9,"Y",1
"31",10,"B",0
"32",10,"O",0
"33",10,"Y",1
"34",11,"B",0
"35",11,"O",0
"36",11,"Y",1
"37",12,"B",0
"38",12,"O",0
"39",12,"Y",1
"40",13,"B",0
"41",13,"O",0
"42",13,"Y",1
"43",14,"B",0
"44",14,"O",0
"45",14,"Y",1
"46",15,"B",0
"47",15,"O",0
"48",15,"Y",1
"49",16,"B",0
"50",16,"O",0
"51",16,"Y",1
"52",17,"B",0
"53",17,"O",0
"54",17,"Y",1
"55",18,"B",0
"56",18,"O",0
"57",18,"Y",1
"58",19,"B",0
"59",19,"O",0
"60",19,"Y",1
"61",20,"B",0
"62",20,"O",0
"63",20,"Y",1
"64",21,"B",0
"65",21,"O",0
"66",21,"Y",1
"67",22,"B",0
"68",22,"O",0
"69",22,"Y",1
"70",23,"B",0
"71",23,"O",0
"72",23,"Y",1
"73",24,"B",0
"74",24,"O",0
"75",24,"Y",1
"76",25,"B",0
"77",25,"O",0
"78",25,"Y",1
"79",26,"B",0
"80",26,"O",0
"81",26,"Y",1
"82",27,"B",0
"83",27,"O",0
"84",27,"Y",1
"85",28,"B",0
"86",28,"O",0
"87",28,"Y",1
"88",29,"B",0
"89",29,"O",0
"90",29,"Y",1
"91",30,"B",0
"92",30,"O",0
"93",30,"Y",1
"94",31,"B",0
"95",31,"O",0
"96",31,"Y",1
"97",32,"B",0
"98",32,"O",0
"99",32,"Y",1
"100",33,"B",0
"101",33,"O",0
"102",33,"Y",1
"103",34,"B",0
"104",34,"O",0
"105",34,"Y",1
"106",35,"B",0
"107",35,"O",0
"108",35,"Y",1
"109",36,"B",0
"110",36,"O",0
"111",36,"Y",1
"112",37,"B",0
"113",37,"O",0
"114",37,"Y",1
"115",38,"B",0
"116",38,"O",0
"117",38,"Y",1
"118",39,"B",0
"119",39,"O",0
"120",39,"Y",1
"121",40,"B",0
"122",40,"O",0
"123",40,"Y",1
"124",41,"B",0
"125",41,"O",0
"126",41,"Y",1
"127",42,"B",0
"128",42,"O",0
"129",42,"Y",1
"130",43,"B",0
"131",43,"O",0
"132",43,"Y",1
"133",44,"B",0
"134",44,"O",0
"135",44,"Y",1
"136",45,"B",0
"137",45,"O",0
"138",45,"Y",1
"139",46,"B",0
"140",46,"O",0
"141",46,"Y",1
"142",47,"B",0
"143",47,"O",0
"144",47,"Y",1
"145",48,"B",0
"146",48,"O",0
"147",48,"Y",1
"148",49,"B",0
"149",49,"O",0
"150",49,"Y",1
"151",50,"B",0
"152",50,"O",0
"153",50,"Y",1
"154",51,"B",0
"155",51,"O",0
"156",51,"Y",1
"157",52,"B",0
"158",52,"O",0
"159",52,"Y",1
"160",53,"B",0
"161",53,"O",0
"162",53,"Y",1
"163",54,"B",0
"164",54,"O",0
"165",54,"Y",1
"166",55,"B",0
"167",55,"O",0
"168",55,"Y",1
"169",56,"B",0
"170",56,"O",0
"171",56,"Y",1
"172",57,"B",0
"173",57,"O",0
"174",57,"Y",1
"175",58,"B",0
"176",58,"O",0
"177",58,"Y",1
"178",59,"B",0
"179",59,"O",0
"180",59,"Y",1
"181",60,"B",0
"182",60,"O",0
"183",60,"Y",1
"184",61,"B",0
"185",61,"O",0
"186",61,"Y",1
"187",62,"B",0
"188",62,"O",0
"189",62,"Y",1
"190",63,"B",0
"191",63,"O",0
"192",63,"Y",1
"193",64,"B",0
"194",64,"O",0
"195",64,"Y",1
"196",65,"B",0
"197",65,"O",0
"198",65,"Y",1
"199",66,"B",0
"200",66,"O",0
"201",66,"Y",1
"202",67,"B",0
"203",67,"O",0
"204",67,"Y",1
"205",68,"B",0
"206",68,"O",0
"207",68,"Y",1
"208",69,"B",0
"209",69,"O",0
"210",69,"Y",1
"211",70,"B",0
"212",70,"O",0
"213",70,"Y",1
"214",71,"B",0
"215",71,"O",0
"216",71,"Y",1
"217",72,"B",0
"218",72,"O",0
"219",72,"Y",1
"220",73,"B",0
"221",73,"O",0
"222",73,"Y",1
"223",74,"B",0
"224",74,"O",0
"225",74,"Y",1
"226",75,"B",0
"227",75,"O",0
"228",75,"Y",1
"229",76,"B",0
"230",76,"O",0
"231",76,"Y",1
"232",77,"B",0
"233",77,"O",0
"234",77,"Y",1
"235",78,"B",0
"236",78,"O",0
"237",78,"Y",1
"238",79,"B",0
"239",79,"O",0
"240",79,"Y",1
"241",80,"B",0
"242",80,"O",0
"243",80,"Y",1
"244",81,"B",0
"245",81,"O",0
"246",81,"Y",1
"247",82,"B",0
"248",82,"O",0
"249",82,"Y",1
"250",83,"B",0
"251",83,"O",0
"252",83,"Y",1
"253",84,"B",0
"254",84,"O",0
"255",84,"Y",1
"256",85,"B",0
"257",85,"O",0
"258",85,"Y",1
"259",86,"B",0
"260",86,"O",0
"261",86,"Y",1
"262",87,"B",0
"263",87,"O",0
"264",87,"Y",1
"265",88,"B",0
"266",88,"O",0
"267",88,"Y",1
"268",89,"B",0
"269",89,"O",0
"270",89,"Y",1
"271",90,"B",0
"272",90,"O",0
"273",90,"Y",1
"274",91,"B",0
"275",91,"O",0
"276",91,"Y",1
"277",92,"B",0
"278",92,"O",0
"279",92,"Y",1
"280",93,"B",0
"281",93,"O",0
"282",93,"Y",1
"283",94,"B",0
"284",94,"O",0
"285",94,"Y",1
"286",95,"B",0
"287",95,"O",0
"288",95,"Y",1
"289",96,"B",0
"290",96,"O",0
"291",96,"Y",1
"292",97,"B",0
"293",97,"O",0
"294",97,"Y",1
"295",98,"B",0
"296",98,"O",0
"297",98,"Y",1
"298",99,"B",0
"299",99,"O",0
"300",99,"Y",1
"301",100,"B",0
"302",100,"O",0
"303",100,"Y",1
"304",101,"B",0
"305",101,"O",0
"306",101,"Y",1
"307",102,"B",0
"308",102,"O",0
"309",102,"Y",1
"310",103,"B",0
"311",103,"O",0
"312",103,"Y",1
"313",104,"B",0
"314",104,"O",0
"315",104,"Y",1
"316",105,"B",0
"317",105,"O",0
"318",105,"Y",1
"319",106,"B",0
"320",106,"O",0
"321",106,"Y",1
"322",107,"B",0
"323",107,"O",0
"324",107,"Y",1
"325",108,"B",0
"326",108,"O",0
"327",108,"Y",1
"328",109,"B",0
"329",109,"O",0
"330",109,"Y",1
"331",110,"B",0
"332",110,"O",0
"333",110,"Y",1
"334",111,"B",0
"335",111,"O",0
"336",111,"Y",1
"337",112,"B",0
"338",112,"O",0
"339",112,"Y",1
"340",113,"B",0
"341",113,"O",0
"342",113,"Y",1
"343",114,"B",0
"344",114,"O",0
"345",114,"Y",1
"346",115,"B",0
"347",115,"O",0
"348",115,"Y",1
"349",116,"B",0
"350",116,"O",0
"351",116,"Y",1
"352",117,"B",0
"353",117,"O",0
"354",117,"Y",1
"355",118,"B",0
"356",118,"O",0
"357",118,"Y",1
"358",119,"B",0
"359",119,"O",0
"360",119,"Y",1
"361",120,"B",0
"362",120,"O",0
"363",120,"Y",1
"364",121,"B",0
"365",121,"O",0
"366",121,"Y",1
"367",122,"B",0
"368",122,"O",0
"369",122,"Y",1
"370",123,"B",0
"371",123,"O",0
"372",123,"Y",1
"373",124,"B",0
"374",124,"O",0
"375",124,"Y",1
"376",125,"B",0
"377",125,"O",0
"378",125,"Y",1
"379",126,"B",0
"380",126,"O",0
"381",126,"Y",1
"382",127,"B",0
"383",127,"O",0
"384",127,"Y",1
"385",128,"B",0
"386",128,"O",0
"387",128,"Y",1
"388",129,"B",0
"389",129,"O",0
"390",129,"Y",1
"391",130,"B",0
"392",130,"O",0
"393",130,"Y",1
"394",131,"B",0
"395",131,"O",0
"396",131,"Y",1
"397",132,"B",0
"398",132,"O",0
"399",132,"Y",1
"400",133,"B",0
"401",133,"O",0
"402",133,"Y",1
"403",134,"B",0
"404",134,"O",0
"405",134,"Y",1
"406",135,"B",0
"407",135,"O",0
"408",135,"Y",1
"409",136,"B",0
"410",136,"O",0
"411",136,"Y",1
"412",137,"B",0
"413",137,"O",0
"414",137,"Y",1
"415",138,"B",0
"416",138,"O",0
"417",138,"Y",1
"418",139,"B",0
"419",139,"O",0
"420",139,"Y",1
"421",140,"B",0
"422",140,"O",0
"423",140,"Y",1
"424",141,"B",0
"425",141,"O",0
"426",141,"Y",1
"427",142,"B",0
"428",142,"O",0
"429",142,"Y",1
"430",143,"B",0
"431",143,"O",0
"432",143,"Y",1
"433",144,"B",0
"434",144,"O",0
"435",144,"Y",1
"436",145,"B",0
"437",145,"O",0
"438",145,"Y",1
"439",146,"B",0
"440",146,"O",0
"441",146,"Y",1
"442",147,"B",0
"443",147,"O",0
"444",147,"Y",1
"445",148,"B",0
"446",148,"O",0
"447",148,"Y",1
"448",149,"B",0
"449",149,"O",0
"450",149,"Y",1
"451",150,"B",0
"452",150,"O",0
"453",150,"Y",1
"454",151,"B",0
"455",151,"O",0
"456",151,"Y",1
"457",152,"B",0
"458",152,"O",0
"459",152,"Y",1
"460",153,"B",0
"461",153,"O",0
"462",153,"Y",1
"463",154,"B",0
"464",154,"O",0
"465",154,"Y",1
"466",155,"B",0
"467",155,"O",0
"468",155,"Y",1
"469",156,"B",0
"470",156,"O",0
"471",156,"Y",1
"472",157,"B",0
"473",157,"O",0
"474",157,"Y",1
"475",158,"B",0
"476",158,"O",0
"477",158,"Y",1
"478",159,"B",0
"479",159,"O",0
"480",159,"Y",1
"481",160,"B",0
"482",160,"O",0
"483",160,"Y",1
"484",161,"B",0
"485",161,"O",0
"486",161,"Y",1
"487",162,"B",0
"488",162,"O",0
"489",162,"Y",1
"490",163,"B",0
"491",163,"O",0
"492",163,"Y",1
"493",164,"B",0
"494",164,"O",0
"495",164,"Y",1
"496",165,"B",0
"497",165,"O",0
"498",165,"Y",1
"499",166,"B",0
"500",166,"O",0
"501",166,"Y",1
"502",167,"B",0
"503",167,"O",0
"504",167,"Y",1
"505",168,"B",0
"506",168,"O",0
"507",168,"Y",1
"508",169,"B",0
"509",169,"O",0
"510",169,"Y",1
"511",170,"B",0
"512",170,"O",0
"513",170,"Y",1
"514",171,"B",0
"515",171,"O",0
"516",171,"Y",1
"517",172,"B",0
"518",172,"O",0
"519",172,"Y",1
"520",173,"B",0
"521",173,"O",0
"522",173,"Y",1
"523",174,"B",0
"524",174,"O",0
"525",174,"Y",1
"526",175,"B",0
"527",175,"O",0
"528",175,"Y",1
"529",176,"B",0
"530",176,"O",0
"531",176,"Y",1
"532",177,"B",0
"533",177,"O",0
"534",177,"Y",1
"535",178,"B",0
"536",178,"O",0
"537",178,"Y",1
"538",179,"B",0
"539",179,"O",0
"540",179,"Y",1
"541",180,"B",0
"542",180,"O",0
"543",180,"Y",1
"544",181,"B",0
"545",181,"O",0
"546",181,"Y",1
"547",182,"B",0
"548",182,"O",0
"549",182,"Y",1
"550",183,"B",0
"551",183,"O",0
"552",183,"Y",1
"553",184,"B",0
"554",184,"O",0
"555",184,"Y",1
"556",185,"B",0
"557",185,"O",0
"558",185,"Y",1
"559",186,"B",0
"560",186,"O",0
"561",186,"Y",1
"562",187,"B",0
"563",187,"O",0
"564",187,"Y",1
"565",188,"B",0
"566",188,"O",0
"567",188,"Y",1
"568",189,"B",0
"569",189,"O",0
"570",189,"Y",1
"571",190,"B",0
"572",190,"O",0
"573",190,"Y",1
"574",191,"B",0
"575",191,"O",0
"576",191,"Y",1
"577",192,"B",0
"578",192,"O",0
"579",192,"Y",1
"580",193,"B",0
"581",193,"O",0
"582",193,"Y",1
"583",194,"B",0
"584",194,"O",0
"585",194,"Y",1
"586",195,"B",0
"587",195,"O",0
"588",195,"Y",1
"589",196,"B",0
"590",196,"O",0
"591",196,"Y",1
"592",197,"B",0
"593",197,"O",0
"594",197,"Y",1
"595",198,"B",0
"596",198,"O",0
"597",198,"Y",1
"598",199,"B",0
"599",199,"O",0
"600",199,"Y",1
"601",200,"B",0
"602",200,"O",0
"603",200,"Y",1
