"","Generation","strategy","zy","ratio","fit_media","fit_sd"
"1",0,"fit_B",1,0.125,0,0
"2",0,"fit_B",2,0.25,0,0
"3",0,"fit_B",3,0.375,0,0
"4",0,"fit_B",4,0.5,0,0
"5",0,"fit_B",5,0.625,0,0
"6",0,"fit_B",6,0.75,0,0
"7",0,"fit_B",7,0.875,0,0
"8",0,"fit_B",8,1,0,0
"9",0,"fit_B",9,1.125,0,0
"10",0,"fit_B",10,1.25,0,0
"11",0,"fit_B",11,1.375,0,0
"12",0,"fit_B",12,1.5,0,0
"13",0,"fit_B",13,1.625,0,0
"14",0,"fit_B",14,1.75,0,0
"15",0,"fit_B",15,1.875,0,0
"16",0,"fit_B",16,2,0,0
"17",0,"fit_B",17,2.125,0,0
"18",0,"fit_B",18,2.25,0,0
"19",0,"fit_B",19,2.375,0,0
"20",0,"fit_B",20,2.5,0,0
"21",0,"fit_B",21,2.625,0,0
"22",0,"fit_B",22,2.75,0,0
"23",0,"fit_B",23,2.875,0,0
"24",0,"fit_B",24,3,0,0
"25",0,"fit_B",25,3.125,0,0
"26",0,"fit_B",26,3.25,0,0
"27",0,"fit_B",27,3.375,0,0
"28",0,"fit_B",28,3.5,0,0
"29",0,"fit_B",29,3.625,0,0
"30",0,"fit_B",30,3.75,0,0
"31",0,"fit_B",31,3.875,0,0
"32",0,"fit_B",32,4,0,0
"33",0,"fit_O",1,0.125,0,0
"34",0,"fit_O",2,0.25,0,0
"35",0,"fit_O",3,0.375,0,0
"36",0,"fit_O",4,0.5,0,0
"37",0,"fit_O",5,0.625,0,0
"38",0,"fit_O",6,0.75,0,0
"39",0,"fit_O",7,0.875,0,0
"40",0,"fit_O",8,1,0,0
"41",0,"fit_O",9,1.125,0,0
"42",0,"fit_O",10,1.25,0,0
"43",0,"fit_O",11,1.375,0,0
"44",0,"fit_O",12,1.5,0,0
"45",0,"fit_O",13,1.625,0,0
"46",0,"fit_O",14,1.75,0,0
"47",0,"fit_O",15,1.875,0,0
"48",0,"fit_O",16,2,0,0
"49",0,"fit_O",17,2.125,0,0
"50",0,"fit_O",18,2.25,0,0
"51",0,"fit_O",19,2.375,0,0
"52",0,"fit_O",20,2.5,0,0
"53",0,"fit_O",21,2.625,0,0
"54",0,"fit_O",22,2.75,0,0
"55",0,"fit_O",23,2.875,0,0
"56",0,"fit_O",24,3,0,0
"57",0,"fit_O",25,3.125,0,0
"58",0,"fit_O",26,3.25,0,0
"59",0,"fit_O",27,3.375,0,0
"60",0,"fit_O",28,3.5,0,0
"61",0,"fit_O",29,3.625,0,0
"62",0,"fit_O",30,3.75,0,0
"63",0,"fit_O",31,3.875,0,0
"64",0,"fit_O",32,4,0,0
"65",0,"fit_Y",1,0.125,0,0
"66",0,"fit_Y",2,0.25,0,0
"67",0,"fit_Y",3,0.375,0,0
"68",0,"fit_Y",4,0.5,0,0
"69",0,"fit_Y",5,0.625,0,0
"70",0,"fit_Y",6,0.75,0,0
"71",0,"fit_Y",7,0.875,0,0
"72",0,"fit_Y",8,1,0,0
"73",0,"fit_Y",9,1.125,0,0
"74",0,"fit_Y",10,1.25,0,0
"75",0,"fit_Y",11,1.375,0,0
"76",0,"fit_Y",12,1.5,0,0
"77",0,"fit_Y",13,1.625,0,0
"78",0,"fit_Y",14,1.75,0,0
"79",0,"fit_Y",15,1.875,0,0
"80",0,"fit_Y",16,2,0,0
"81",0,"fit_Y",17,2.125,0,0
"82",0,"fit_Y",18,2.25,0,0
"83",0,"fit_Y",19,2.375,0,0
"84",0,"fit_Y",20,2.5,0,0
