Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.5157,0.3755,0.1088,1
2,0.234,0.7421,0.0239,1
3,0.1042,0.8756,0.0202,1
4,0.0752,0.9019,0.0229,1
5,0.0712,0.9051,0.0237,1
6,0.0766,0.9002,0.0232,1
7,0.0708,0.9049,0.0243,1
8,0.0723,0.9003,0.0274,1
9,0.0727,0.898,0.0293,1
10,0.077,0.8927,0.0303,1
11,0.0737,0.8951,0.0312,1
12,0.0745,0.8924,0.0331,1
13,0.0744,0.8911,0.0345,1
14,0.0762,0.8875,0.0363,1
15,0.0774,0.8866,0.036,1
16,0.0792,0.8841,0.0367,1
17,0.0769,0.8853,0.0378,1
18,0.0774,0.884,0.0386,1
19,0.0779,0.884,0.0381,1
20,0.0767,0.8845,0.0388,1
21,0.0776,0.8831,0.0393,1
22,0.0803,0.8802,0.0395,1
23,0.0782,0.8819,0.0399,1
24,0.0802,0.8802,0.0396,1
25,0.0814,0.8794,0.0392,1
26,0.0797,0.8811,0.0392,1
27,0.0754,0.8851,0.0395,1
28,0.0767,0.8832,0.0401,1
29,0.0762,0.8837,0.0401,1
30,0.0804,0.8793,0.0403,1
31,0.0797,0.8801,0.0402,1
32,0.0762,0.8828,0.041,1
33,0.0751,0.8834,0.0415,1
34,0.0788,0.8799,0.0413,1
35,0.0775,0.8813,0.0412,1
36,0.0778,0.8806,0.0416,1
37,0.0774,0.8807,0.0419,1
38,0.0778,0.8794,0.0428,1
39,0.0773,0.8804,0.0423,1
40,0.0788,0.8788,0.0424,1
41,0.0754,0.8813,0.0433,1
42,0.0786,0.878,0.0434,1
43,0.0783,0.8782,0.0435,1
44,0.0779,0.8788,0.0433,1
45,0.0792,0.8773,0.0435,1
46,0.0815,0.8753,0.0432,1
47,0.0768,0.8799,0.0433,1
48,0.0769,0.8793,0.0438,1
49,0.0789,0.8774,0.0437,1
50,0.0806,0.8756,0.0438,1
51,0.079,0.8773,0.0437,1
52,0.079,0.8772,0.0438,1
53,0.077,0.8784,0.0446,1
54,0.0798,0.8758,0.0444,1
55,0.0791,0.8772,0.0437,1
56,0.0772,0.8786,0.0442,1
57,0.0774,0.878,0.0446,1
58,0.0806,0.8745,0.0449,1
59,0.0788,0.8764,0.0448,1
60,0.0795,0.876,0.0445,1
61,0.0792,0.8761,0.0447,1
62,0.0777,0.8769,0.0454,1
63,0.0769,0.8781,0.045,1
64,0.0788,0.8764,0.0448,1
65,0.0793,0.8757,0.045,1
66,0.0822,0.8729,0.0449,1
67,0.0804,0.8747,0.0449,1
68,0.077,0.8777,0.0453,1
69,0.0771,0.8778,0.0451,1
70,0.0823,0.8728,0.0449,1
71,0.0795,0.8759,0.0446,1
72,0.0791,0.876,0.0449,1
73,0.0786,0.8761,0.0453,1
74,0.08,0.8748,0.0452,1
75,0.0803,0.8749,0.0448,1
76,0.0795,0.8759,0.0446,1
77,0.0775,0.8773,0.0452,1
78,0.0799,0.8746,0.0455,1
79,0.0805,0.8749,0.0446,1
80,0.0801,0.8751,0.0448,1
81,0.079,0.8761,0.0449,1
82,0.08,0.875,0.045,1
83,0.0767,0.8779,0.0454,1
84,0.0793,0.8758,0.0449,1
85,0.0814,0.8738,0.0448,1
86,0.0812,0.8737,0.0451,1
87,0.0784,0.8769,0.0447,1
88,0.0788,0.8761,0.0451,1
89,0.078,0.8768,0.0452,1
90,0.0811,0.874,0.0449,1
91,0.08,0.8753,0.0447,1
92,0.0776,0.8774,0.045,1
93,0.0784,0.8762,0.0454,1
94,0.0824,0.8725,0.0451,1
95,0.0802,0.8752,0.0446,1
96,0.079,0.8763,0.0447,1
97,0.0778,0.8772,0.045,1
98,0.0788,0.8757,0.0455,1
99,0.0792,0.8758,0.045,1
100,0.081,0.8744,0.0446,1
101,0.0792,0.8758,0.045,1
102,0.0811,0.8737,0.0452,1
103,0.079,0.8761,0.0449,1
104,0.0772,0.8778,0.045,1
105,0.0788,0.8763,0.0449,1
106,0.082,0.8732,0.0448,1
107,0.0791,0.8758,0.0451,1
108,0.0788,0.876,0.0452,1
109,0.0795,0.8755,0.045,1
110,0.0807,0.8742,0.0451,1
111,0.0786,0.8769,0.0445,1
112,0.079,0.8762,0.0448,1
113,0.0774,0.8771,0.0455,1
114,0.0812,0.8737,0.0451,1
115,0.082,0.8733,0.0447,1
116,0.0792,0.876,0.0448,1
117,0.0775,0.8774,0.0451,1
118,0.079,0.8756,0.0454,1
119,0.0781,0.8771,0.0448,1
120,0.0809,0.8744,0.0447,1
121,0.0809,0.8743,0.0448,1
122,0.08,0.8748,0.0452,1
123,0.078,0.8767,0.0453,1
124,0.0793,0.8759,0.0448,1
125,0.0787,0.8763,0.045,1
126,0.0812,0.8738,0.045,1
127,0.0791,0.8763,0.0446,1
128,0.0775,0.8772,0.0453,1
129,0.0792,0.8757,0.0451,1
130,0.0832,0.872,0.0448,1
131,0.0792,0.8759,0.0449,1
132,0.0773,0.8778,0.0449,1
133,0.0783,0.8764,0.0453,1
134,0.0804,0.8743,0.0453,1
135,0.0805,0.875,0.0445,1
136,0.0802,0.8752,0.0446,1
137,0.0776,0.8772,0.0452,1
138,0.08,0.8746,0.0454,1
139,0.0796,0.8755,0.0449,1
140,0.0792,0.876,0.0448,1
141,0.0788,0.8763,0.0449,1
142,0.0814,0.8735,0.0451,1
143,0.0784,0.8765,0.0451,1
144,0.0794,0.8757,0.0449,1
145,0.0799,0.8753,0.0448,1
146,0.0792,0.8758,0.045,1
147,0.0785,0.8765,0.045,1
148,0.0792,0.8757,0.0451,1
149,0.079,0.8758,0.0452,1
150,0.0825,0.8725,0.045,1
151,0.0807,0.8749,0.0444,1
152,0.0774,0.8776,0.045,1
153,0.0762,0.8784,0.0454,1
154,0.0806,0.8744,0.045,1
155,0.0801,0.875,0.0449,1
156,0.0807,0.8746,0.0447,1
157,0.08,0.875,0.045,1
158,0.0794,0.875,0.0456,1
159,0.0781,0.8772,0.0447,1
160,0.0797,0.8757,0.0446,1
161,0.0785,0.8765,0.045,1
162,0.0805,0.8744,0.0451,1
163,0.0794,0.8754,0.0452,1
164,0.0786,0.8764,0.045,1
165,0.0803,0.8748,0.0449,1
166,0.082,0.8731,0.0449,1
167,0.0771,0.8781,0.0448,1
168,0.0775,0.8773,0.0452,1
169,0.0796,0.8754,0.045,1
170,0.0819,0.8731,0.045,1
171,0.0801,0.8751,0.0448,1
172,0.0789,0.8763,0.0448,1
173,0.0768,0.8777,0.0455,1
174,0.0804,0.8744,0.0452,1
175,0.0812,0.8744,0.0444,1
176,0.0789,0.8763,0.0448,1
177,0.0779,0.877,0.0451,1
178,0.0809,0.8738,0.0453,1
179,0.0794,0.8755,0.0451,1
180,0.0801,0.8752,0.0447,1
181,0.0787,0.8765,0.0448,1
182,0.0789,0.8758,0.0453,1
183,0.0783,0.8767,0.045,1
184,0.0805,0.8747,0.0448,1
185,0.08,0.875,0.045,1
186,0.0814,0.8737,0.0449,1
187,0.0793,0.8758,0.0449,1
188,0.0764,0.8783,0.0453,1
189,0.0781,0.8768,0.0451,1
190,0.0824,0.8727,0.0449,1
191,0.0795,0.8759,0.0446,1
192,0.0795,0.8756,0.0449,1
193,0.0791,0.8756,0.0453,1
194,0.0797,0.8751,0.0452,1
195,0.0789,0.8763,0.0448,1
196,0.0798,0.8756,0.0446,1
197,0.0781,0.8767,0.0452,1
198,0.0806,0.8739,0.0455,1
199,0.0801,0.8753,0.0446,1
200,0.0794,0.8758,0.0448,1
0,0.3368,0.3332,0.33,2
1,0.5268,0.3624,0.1108,2
2,0.244,0.7328,0.0232,2
3,0.0998,0.8787,0.0215,2
4,0.0765,0.8999,0.0236,2
5,0.0663,0.9081,0.0256,2
6,0.0707,0.9026,0.0267,2
7,0.0664,0.9051,0.0285,2
8,0.069,0.8995,0.0315,2
9,0.0675,0.8994,0.0331,2
10,0.0709,0.8935,0.0356,2
11,0.0687,0.8947,0.0366,2
12,0.072,0.8894,0.0386,2
13,0.0693,0.89,0.0407,2
14,0.0733,0.8844,0.0423,2
15,0.0685,0.8873,0.0442,2
16,0.071,0.8833,0.0457,2
17,0.0689,0.8843,0.0468,2
18,0.0694,0.8819,0.0487,2
19,0.066,0.8836,0.0504,2
20,0.0707,0.878,0.0513,2
21,0.067,0.8803,0.0527,2
22,0.0698,0.8763,0.0539,2
23,0.0672,0.8784,0.0544,2
24,0.0687,0.8753,0.056,2
25,0.0669,0.8767,0.0564,2
26,0.0701,0.8726,0.0573,2
27,0.0646,0.8766,0.0588,2
28,0.0695,0.8707,0.0598,2
29,0.0683,0.8716,0.0601,2
30,0.0705,0.8692,0.0603,2
31,0.067,0.8728,0.0602,2
32,0.0694,0.8697,0.0609,2
33,0.0656,0.8724,0.062,2
34,0.0698,0.8675,0.0627,2
35,0.069,0.8683,0.0627,2
36,0.0709,0.8665,0.0626,2
37,0.0667,0.8709,0.0624,2
38,0.0711,0.8659,0.063,2
39,0.0659,0.8704,0.0637,2
40,0.0709,0.8655,0.0636,2
41,0.0692,0.8674,0.0634,2
42,0.0709,0.8663,0.0628,2
43,0.0663,0.8701,0.0636,2
44,0.0708,0.8651,0.0641,2
45,0.0685,0.8679,0.0636,2
46,0.0719,0.8642,0.0639,2
47,0.0691,0.8671,0.0638,2
48,0.0707,0.8657,0.0636,2
49,0.0677,0.8684,0.0639,2
50,0.0735,0.863,0.0635,2
51,0.0678,0.8692,0.063,2
52,0.0712,0.8653,0.0635,2
53,0.0693,0.8671,0.0636,2
54,0.0711,0.8656,0.0633,2
55,0.0679,0.8686,0.0635,2
56,0.0728,0.8638,0.0634,2
57,0.0676,0.8693,0.0631,2
58,0.0708,0.8655,0.0637,2
59,0.0692,0.867,0.0638,2
60,0.0717,0.8652,0.0631,2
61,0.0681,0.8686,0.0633,2
62,0.0722,0.8641,0.0637,2
63,0.0671,0.8691,0.0638,2
64,0.0707,0.8648,0.0645,2
65,0.0701,0.8659,0.064,2
66,0.0726,0.8644,0.063,2
67,0.0673,0.8694,0.0633,2
68,0.0716,0.8647,0.0637,2
69,0.0672,0.8692,0.0636,2
70,0.0725,0.8638,0.0637,2
71,0.0703,0.8663,0.0634,2
72,0.0708,0.8663,0.0629,2
73,0.0675,0.869,0.0635,2
