Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,9.17686855670103,10.587603559374042,11.009326424870466,10.45005,1
2,8.257950530035336,11.276535821158246,10.91228939544103,11.0441,1
3,8.364705882352942,11.165024630541872,9.095274742188703,9.7489,1
4,7.717329545454546,10.349306811332127,7.100012517211165,7.6608,1
5,7.54930966469428,9.776872964169382,5.7106859542697155,6.1784,1
6,7.575564971751413,9.87287104622871,4.812809917355372,5.42435,1
7,7.53876404494382,10.236717267552182,4.456305858987091,5.3399,1
8,7.556521739130435,10.527860326894503,4.51548759679748,5.6395,1
9,7.523049645390071,10.671345029239767,4.635087964255795,5.99305,1
10,7.573541842772612,10.824719648951731,4.8331362695832105,6.3862,1
11,7.58963466440102,10.96044499381953,4.960287679799875,6.726,1
12,7.564291920069505,11.018617021276595,5.101758168850556,7.05375,1
13,7.499101527403414,11.061048336472066,5.349675495527101,7.40855,1
14,7.563859981078524,11.120654095462582,5.714543160929897,7.74485,1
15,7.584745762711864,11.115823136818687,5.8790038881688576,7.93325,1
16,7.622907949790795,11.146425614131935,6.1448072311381665,8.0982,1
17,7.383333333333334,11.085471277189068,6.365710678210678,8.14675,1
18,7.418704156479218,11.061484918793504,6.427275898151378,8.10625,1
19,7.547785547785548,11.02737003058104,6.3421321525885554,7.97765,1
20,7.506131549609811,10.992094223943207,6.29738507661559,7.8607,1
21,7.579497907949791,10.990457387298454,6.09616985845129,7.72535,1
22,7.536410256410257,10.973220117570216,6.035720275029347,7.6939,1
23,7.501509054325956,11.008555133079849,5.969145299145299,7.7119,1
24,7.547150259067357,11.046241880606248,6.0392967942088935,7.80355,1
25,7.535897435897436,11.006009615384615,6.093206951026856,7.86885,1
26,7.561586638830898,11.001313868613138,6.166191917393626,7.9559,1
27,7.67094861660079,11.003994293865906,6.21767280685756,8.04235,1
28,7.609189723320158,11.001268320180383,6.393566176470588,8.1514,1
29,7.587917485265226,11.01558515160102,6.452319823950119,8.1783,1
30,7.632409177820268,11.017306573589297,6.538343002175489,8.19265,1
31,7.675502742230347,11.012198750371914,6.459242560865644,8.12255,1
32,7.637236962488563,10.97304347826087,6.299065420560748,8.05785,1
33,7.541551246537396,11.028559002609452,6.424286759326994,8.1333,1
34,7.597605893186004,11.035255495289752,6.367769358713732,8.13635,1
35,7.59018691588785,11.053179824561404,6.338792124195381,8.1925,1
36,7.600387972841901,11.104706504494976,6.410352805089647,8.30845,1
37,7.660262891809909,11.111483767104911,6.634273277819833,8.4044,1
38,7.6338329764453965,11.058970099667775,6.688485515218188,8.3554,1
39,7.509615384615385,11.027987238979119,6.661591880341881,8.2465,1
40,7.621165644171779,10.971191553544495,6.545032416330822,8.11755,1
41,7.573099415204679,10.966448931116389,6.323314306100606,8.01535,1
42,7.627433628318584,10.981486838299103,6.320801773508221,8.07965,1
43,7.550134288272157,11.032467532467532,6.405205167173253,8.2077,1
